"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2017"	"2017"	126	55504	227.0	203.6
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2017"	"2017"	573	212628	269.5	195.7
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2017"	"2017"	92	25270	364.1	275.9
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2017"	"2017"	70	22668	308.8	263.4
	"Alabama"	"01"	"Blount County, AL"	"01009"	"2017"	"2017"	156	58013	268.9	215.3
	"Alabama"	"01"	"Bullock County, AL"	"01011"	"2017"	"2017"	32	10309	310.4	249.0
	"Alabama"	"01"	"Butler County, AL"	"01013"	"2017"	"2017"	51	19825	257.3	186.0
	"Alabama"	"01"	"Calhoun County, AL"	"01015"	"2017"	"2017"	460	114728	400.9	321.5
	"Alabama"	"01"	"Chambers County, AL"	"01017"	"2017"	"2017"	83	33713	246.2	178.4
	"Alabama"	"01"	"Cherokee County, AL"	"01019"	"2017"	"2017"	81	25857	313.3	232.1
	"Alabama"	"01"	"Chilton County, AL"	"01021"	"2017"	"2017"	154	44067	349.5	287.5
	"Alabama"	"01"	"Choctaw County, AL"	"01023"	"2017"	"2017"	52	12945	401.7	270.9
	"Alabama"	"01"	"Clarke County, AL"	"01025"	"2017"	"2017"	92	24083	382.0	270.5
	"Alabama"	"01"	"Clay County, AL"	"01027"	"2017"	"2017"	53	13367	396.5	276.9
	"Alabama"	"01"	"Cleburne County, AL"	"01029"	"2017"	"2017"	58	14900	389.3	286.8
	"Alabama"	"01"	"Coffee County, AL"	"01031"	"2017"	"2017"	158	51874	304.6	253.1
	"Alabama"	"01"	"Colbert County, AL"	"01033"	"2017"	"2017"	177	54500	324.8	228.8
	"Alabama"	"01"	"Conecuh County, AL"	"01035"	"2017"	"2017"	39	12469	312.8	195.0
	"Alabama"	"01"	"Coosa County, AL"	"01037"	"2017"	"2017"	33	10754	306.9	207.1
	"Alabama"	"01"	"Covington County, AL"	"01039"	"2017"	"2017"	139	37092	374.7	243.3
	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	"2017"	"2017"	47	13871	338.8	255.9
	"Alabama"	"01"	"Cullman County, AL"	"01043"	"2017"	"2017"	269	82755	325.1	260.6
	"Alabama"	"01"	"Dale County, AL"	"01045"	"2017"	"2017"	138	49226	280.3	229.4
	"Alabama"	"01"	"Dallas County, AL"	"01047"	"2017"	"2017"	147	39215	374.9	304.7
