State,FIPS,ANSICODE,County,lat,long                                                                                                            
AL,1001,161526,Autauga,32.532237,-86.64644
AL,1003,161527,Baldwin,30.659218,-87.746067
AL,1005,161528,Barbour,31.870253,-85.405104
AL,1007,161529,Bibb,33.015893,-87.127148
AL,1009,161530,Blount,33.977358,-86.56644
AL,1011,161531,Bullock,32.101759,-85.717261
AL,1013,161532,Butler,31.751667,-86.681969
AL,1015,161533,Calhoun,33.771706,-85.822513
AL,1017,161534,Chambers,32.915504,-85.394032
AL,1019,161535,Cherokee,34.069515,-85.654242
AL,1021,161536,Chilton,32.854051,-86.726607
AL,1023,161537,Choctaw,31.990954,-88.248889
AL,1025,161538,Clarke,31.685521,-87.818624
AL,1027,161539,Clay,33.2704,-85.863525
AL,1029,161540,Cleburne,33.671964,-85.516126
AL,1031,161541,Coffee,31.402258,-85.989602
AL,1033,161542,Colbert,34.703112,-87.801457
AL,1035,161543,Conecuh,31.430926,-86.988722
AL,1037,161544,Coosa,32.931445,-86.243482
AL,1039,161545,Covington,31.243987,-86.448721
AL,1041,161546,Crenshaw,31.732826,-86.319222
AL,1043,161547,Cullman,34.131923,-86.869267
AL,1045,161548,Dale,31.430654,-85.609476
AL,1047,161549,Dallas,32.33354,-87.114356
AL,1049,161550,DeKalb,34.460929,-85.803992
AL,1051,161551,Elmore,32.597229,-86.142735
AL,1053,161552,Escambia,31.122287,-87.16841
AL,1055,161553,Etowah,34.047641,-86.034263
AL,1057,161554,Fayette,33.716157,-87.764292
AL,1059,161555,Franklin,34.441989,-87.842814
AL,1061,161556,Geneva,31.092382,-85.821022
AL,1063,161557,Greene,32.844497,-87.9642
AL,1065,161558,Hale,32.752796,-87.623061
AL,1067,161559,Henry,31.516978,-85.239971
AL,1069,161560,Houston,31.158183,-85.296411
AL,1071,161561,Jackson,34.764114,-85.980056
AL,1073,161562,Jefferson,33.553444,-86.896536
AL,1075,161563,Lamar,33.787085,-88.087431
AL,1077,161564,Lauderdale,34.904122,-87.650997
AL,1079,161565,Lawrence,34.529776,-87.321865
AL,1081,161566,Lee,32.604064,-85.353048
AL,1083,161567,Limestone,34.810239,-86.981399
AL,1085,161568,Lowndes,32.147888,-86.650586
AL,1087,161569,Macon,32.387027,-85.692887
AL,1089,161570,Madison,34.764238,-86.55108
