State_name,State Code,GEOID,Year,Year Code,Deaths,Population,Crude_Rate,Age_Adjusted_Rate,County_name,State,NAME
Alabama,1,01001,2017,2017,126,55504,227,203.6,Autauga County, AL,"Autauga County, Alabama"
Alabama,1,01003,2017,2017,573,212628,269.5,195.7,Baldwin County, AL,"Baldwin County, Alabama"
Alabama,1,01005,2017,2017,92,25270,364.1,275.9,Barbour County, AL,"Barbour County, Alabama"
Alabama,1,01007,2017,2017,70,22668,308.8,263.4,Bibb County, AL,"Bibb County, Alabama"
Alabama,1,01009,2017,2017,156,58013,268.9,215.3,Blount County, AL,"Blount County, Alabama"
Alabama,1,01011,2017,2017,32,10309,310.4,249,Bullock County, AL,"Bullock County, Alabama"
Alabama,1,01013,2017,2017,51,19825,257.3,186,Butler County, AL,"Butler County, Alabama"
Alabama,1,01015,2017,2017,460,114728,400.9,321.5,Calhoun County, AL,"Calhoun County, Alabama"
Alabama,1,01017,2017,2017,83,33713,246.2,178.4,Chambers County, AL,"Chambers County, Alabama"
Alabama,1,01019,2017,2017,81,25857,313.3,232.1,Cherokee County, AL,"Cherokee County, Alabama"
Alabama,1,01021,2017,2017,154,44067,349.5,287.5,Chilton County, AL,"Chilton County, Alabama"
Alabama,1,01023,2017,2017,52,12945,401.7,270.9,Choctaw County, AL,"Choctaw County, Alabama"
Alabama,1,01025,2017,2017,92,24083,382,270.5,Clarke County, AL,"Clarke County, Alabama"
Alabama,1,01027,2017,2017,53,13367,396.5,276.9,Clay County, AL,"Clay County, Alabama"
Alabama,1,01029,2017,2017,58,14900,389.3,286.8,Cleburne County, AL,"Cleburne County, Alabama"
Alabama,1,01031,2017,2017,158,51874,304.6,253.1,Coffee County, AL,"Coffee County, Alabama"
Alabama,1,01033,2017,2017,177,54500,324.8,228.8,Colbert County, AL,"Colbert County, Alabama"
Alabama,1,01035,2017,2017,39,12469,312.8,195,Conecuh County, AL,"Conecuh County, Alabama"
Alabama,1,01037,2017,2017,33,10754,306.9,207.1,Coosa County, AL,"Coosa County, Alabama"
Alabama,1,01039,2017,2017,139,37092,374.7,243.3,Covington County, AL,"Covington County, Alabama"
Alabama,1,01041,2017,2017,47,13871,338.8,255.9,Crenshaw County, AL,"Crenshaw County, Alabama"
Alabama,1,01043,2017,2017,269,82755,325.1,260.6,Cullman County, AL,"Cullman County, Alabama"
Alabama,1,01045,2017,2017,138,49226,280.3,229.4,Dale County, AL,"Dale County, Alabama"
Alabama,1,01047,2017,2017,147,39215,374.9,304.7,Dallas County, AL,"Dallas County, Alabama"
Alabama,1,01049,2017,2017,201,71617,280.7,237.5,DeKalb County, AL,"DeKalb County, Alabama"
Alabama,1,01051,2017,2017,235,81677,287.7,275,Elmore County, AL,"Elmore County, Alabama"
Alabama,1,01053,2017,2017,107,37447,285.7,231.4,Escambia County, AL,"Escambia County, Alabama"
Alabama,1,01055,2017,2017,340,102755,330.9,254.4,Etowah County, AL,"Etowah County, Alabama"
Alabama,1,01057,2017,2017,62,16468,376.5,259.6,Fayette County, AL,"Fayette County, Alabama"
Alabama,1,01059,2017,2017,88,31495,279.4,239.2,Franklin County, AL,"Franklin County, Alabama"
Alabama,1,01061,2017,2017,86,26421,325.5,224.5,Geneva County, AL,"Geneva County, Alabama"
Alabama,1,01063,2017,2017,37,8330,444.2,313.1,Greene County, AL,"Greene County, Alabama"
Alabama,1,01065,2017,2017,59,14812,398.3,294.5,Hale County, AL,"Hale County, Alabama"
Alabama,1,01067,2017,2017,59,17147,344.1,221,Henry County, AL,"Henry County, Alabama"
Alabama,1,01069,2017,2017,249,104346,238.6,189.6,Houston County, AL,"Houston County, Alabama"
Alabama,1,01071,2017,2017,194,51909,373.7,281.9,Jackson County, AL,"Jackson County, Alabama"
Alabama,1,01073,2017,2017,1534,659197,232.7,194.8,Jefferson County, AL,"Jefferson County, Alabama"
Alabama,1,01075,2017,2017,53,13946,380,259.8,Lamar County, AL,"Lamar County, Alabama"
Alabama,1,01077,2017,2017,258,92538,278.8,202.2,Lauderdale County, AL,"Lauderdale County, Alabama"
Alabama,1,01079,2017,2017,93,33049,281.4,220.3,Lawrence County, AL,"Lawrence County, Alabama"
Alabama,1,01081,2017,2017,228,161604,141.1,170.4,Lee County, AL,"Lee County, Alabama"
Alabama,1,01083,2017,2017,226,94402,239.4,219.5,Limestone County, AL,"Limestone County, Alabama"
Alabama,1,01085,2017,2017,26,10076,258,209,Lowndes County, AL,"Lowndes County, Alabama"
Alabama,1,01087,2017,2017,67,18755,357.2,266.2,Macon County, AL,"Macon County, Alabama"
Alabama,1,01089,2017,2017,781,361046,216.3,194.3,Madison County, AL,"Madison County, Alabama"
Alabama,1,01091,2017,2017,90,19375,464.5,319.8,Marengo County, AL,"Marengo County, Alabama"
Alabama,1,01093,2017,2017,128,29833,429.1,281.8,Marion County, AL,"Marion County, Alabama"
Alabama,1,01095,2017,2017,280,95548,293,243.1,Marshall County, AL,"Marshall County, Alabama"
Alabama,1,01097,2017,2017,1077,413955,260.2,223.5,Mobile County, AL,"Mobile County, Alabama"
