Age_group,Gender,Gender Code,Deaths,Population,Crude Rate,group,Ratio
25-34,Female,F,20402,388237713,5.3,,
25-34,Male,M,41568,394144015,10.5,25-34,1.981132075
35-44,Female,F,67942,405060059,16.8,,
35-44,Male,M,155353,401154005,38.7,35-44,2.303571429
45-54,Female,F,196461,408834171,48.1,,
45-54,Male,M,490706,395869315,124,45-54,2.577962578
55-64,Female,F,403883,331220152,121.9,,
55-64,Male,M,900932,308079845,292.4,55-64,2.398687449
65-74,Female,F,737410,223532825,329.9,,
65-74,Male,M,1217825,192400369,633,65-74,1.918763262
75-84,Female,F,1605587,146568149,1095.5,,
75-84,Male,M,1731100,104120491,1662.6,75-84,1.517663168
85+,Female,F,2979276,67584947,4408.2,,
85+,Male,M,1639401,32121063,5103.8,85+,1.157796833
