FIPS,State_name,State Code,County,State,Deaths,Population,Crude Rate,Age Adjusted Rate
01001,Alabama,1,Autauga, AL,126,55504,227,203.6
01003,Alabama,1,Baldwin, AL,573,212628,269.5,195.7
01005,Alabama,1,Barbour, AL,92,25270,364.1,275.9
01007,Alabama,1,Bibb, AL,70,22668,308.8,263.4
01009,Alabama,1,Blount, AL,156,58013,268.9,215.3
01011,Alabama,1,Bullock, AL,32,10309,310.4,249
01013,Alabama,1,Butler, AL,51,19825,257.3,186
01015,Alabama,1,Calhoun, AL,460,114728,400.9,321.5
01017,Alabama,1,Chambers, AL,83,33713,246.2,178.4
01019,Alabama,1,Cherokee, AL,81,25857,313.3,232.1
01021,Alabama,1,Chilton, AL,154,44067,349.5,287.5
01023,Alabama,1,Choctaw, AL,52,12945,401.7,270.9
01025,Alabama,1,Clarke, AL,92,24083,382,270.5
01027,Alabama,1,Clay, AL,53,13367,396.5,276.9
01029,Alabama,1,Cleburne, AL,58,14900,389.3,286.8
01031,Alabama,1,Coffee, AL,158,51874,304.6,253.1
01033,Alabama,1,Colbert, AL,177,54500,324.8,228.8
01035,Alabama,1,Conecuh, AL,39,12469,312.8,195
01037,Alabama,1,Coosa, AL,33,10754,306.9,207.1
01039,Alabama,1,Covington, AL,139,37092,374.7,243.3
01041,Alabama,1,Crenshaw, AL,47,13871,338.8,255.9
01043,Alabama,1,Cullman, AL,269,82755,325.1,260.6
01045,Alabama,1,Dale, AL,138,49226,280.3,229.4
01047,Alabama,1,Dallas, AL,147,39215,374.9,304.7
01049,Alabama,1,DeKalb, AL,201,71617,280.7,237.5
01051,Alabama,1,Elmore, AL,235,81677,287.7,275
01053,Alabama,1,Escambia, AL,107,37447,285.7,231.4
01055,Alabama,1,Etowah, AL,340,102755,330.9,254.4
01057,Alabama,1,Fayette, AL,62,16468,376.5,259.6
01059,Alabama,1,Franklin, AL,88,31495,279.4,239.2
01061,Alabama,1,Geneva, AL,86,26421,325.5,224.5
01063,Alabama,1,Greene, AL,37,8330,444.2,313.1
01065,Alabama,1,Hale, AL,59,14812,398.3,294.5
01067,Alabama,1,Henry, AL,59,17147,344.1,221
01069,Alabama,1,Houston, AL,249,104346,238.6,189.6
