State_abbrev,FIPS,ANSICODE,County,lat,long                                                                                                               
AL,1001,161526,Autauga County,32.532237,-86.64644
AL,1003,161527,Baldwin County,30.659218,-87.746067
AL,1005,161528,Barbour County,31.870253,-85.405104
AL,1007,161529,Bibb County,33.015893,-87.127148
AL,1009,161530,Blount County,33.977358,-86.56644
AL,1011,161531,Bullock County,32.101759,-85.717261
AL,1013,161532,Butler County,31.751667,-86.681969
AL,1015,161533,Calhoun County,33.771706,-85.822513
AL,1017,161534,Chambers County,32.915504,-85.394032
AL,1019,161535,Cherokee County,34.069515,-85.654242
AL,1021,161536,Chilton County,32.854051,-86.726607
AL,1023,161537,Choctaw County,31.990954,-88.248889
AL,1025,161538,Clarke County,31.685521,-87.818624
AL,1027,161539,Clay County,33.2704,-85.863525
AL,1029,161540,Cleburne County,33.671964,-85.516126
AL,1031,161541,Coffee County,31.402258,-85.989602
AL,1033,161542,Colbert County,34.703112,-87.801457
AL,1035,161543,Conecuh County,31.430926,-86.988722
AL,1037,161544,Coosa County,32.931445,-86.243482
AL,1039,161545,Covington County,31.243987,-86.448721
AL,1041,161546,Crenshaw County,31.732826,-86.319222
AL,1043,161547,Cullman County,34.131923,-86.869267
AL,1045,161548,Dale County,31.430654,-85.609476
AL,1047,161549,Dallas County,32.33354,-87.114356
AL,1049,161550,DeKalb County,34.460929,-85.803992
AL,1051,161551,Elmore County,32.597229,-86.142735
AL,1053,161552,Escambia County,31.122287,-87.16841
AL,1055,161553,Etowah County,34.047641,-86.034263
AL,1057,161554,Fayette County,33.716157,-87.764292
AL,1059,161555,Franklin County,34.441989,-87.842814
AL,1061,161556,Geneva County,31.092382,-85.821022
AL,1063,161557,Greene County,32.844497,-87.9642
AL,1065,161558,Hale County,32.752796,-87.623061
AL,1067,161559,Henry County,31.516978,-85.239971
AL,1069,161560,Houston County,31.158183,-85.296411
AL,1071,161561,Jackson County,34.764114,-85.980056
AL,1073,161562,Jefferson County,33.553444,-86.896536
AL,1075,161563,Lamar County,33.787085,-88.087431
AL,1077,161564,Lauderdale County,34.904122,-87.650997
AL,1079,161565,Lawrence County,34.529776,-87.321865
AL,1081,161566,Lee County,32.604064,-85.353048
AL,1083,161567,Limestone County,34.810239,-86.981399
AL,1085,161568,Lowndes County,32.147888,-86.650586
AL,1087,161569,Macon County,32.387027,-85.692887
AL,1089,161570,Madison County,34.764238,-86.55108
AL,1091,161572,Marengo County,32.247591,-87.791091
AL,1093,161573,Marion County,34.138219,-87.881551
AL,1095,161574,Marshall County,34.309564,-86.321668
AL,1097,161575,Mobile County,30.684572,-88.196568
AL,1099,161576,Monroe County,31.580332,-87.383266
AL,1101,161577,Montgomery County,32.202881,-86.204461
AL,1103,161578,Morgan County,34.454484,-86.846402
AL,1105,161579,Perry County,32.639005,-87.293827
AL,1107,161580,Pickens County,33.296793,-88.096863
AL,1109,161581,Pike County,31.798651,-85.941604
AL,1111,161582,Randolph County,33.296475,-85.464068
AL,1113,161583,Russell County,32.289811,-85.18698
AL,1115,164997,St. Clair County,33.712963,-86.315663
AL,1117,161584,Shelby County,33.263043,-86.678089
AL,1119,161585,Sumter County,32.597481,-88.200057
AL,1121,161586,Talladega County,33.369314,-86.17593
AL,1123,161587,Tallapoosa County,32.863369,-85.799553
AL,1125,161588,Tuscaloosa County,33.29022,-87.522783
AL,1127,161589,Walker County,33.791558,-87.301094
AL,1129,161590,Washington County,31.405217,-88.197564
AL,1131,161591,Wilcox County,31.990082,-87.304935
AL,1133,161592,Winston County,34.154607,-87.36529
AK,2013,1419964,Aleutians East Borough,55.245044,-161.997477
AK,2016,1419965,Aleutians West Census Area,51.948964,179.621188
AK,2020,1416061,Anchorage Municipality,61.17425,-149.284329
AK,2050,1419966,Bethel Census Area,60.929141,-160.152625
AK,2060,1419967,Bristol Bay Borough,58.741615,-156.966992
AK,2068,1419988,Denali Borough,63.681106,-150.026544
AK,2070,1419968,Dillingham Census Area,59.543326,-158.267123
AK,2090,1419969,Fairbanks North Star Borough,64.692317,-146.601733
AK,2100,1419970,Haines Borough,59.098404,-135.575791
AK,2105,2371430,Hoonah-Angoon Census Area,58.253462,-136.320731
AK,2110,1419971,Juneau City and Borough,58.643523,-134.281167
AK,2122,1419972,Kenai Peninsula Borough,60.366668,-152.322283
AK,2130,1419973,Ketchikan Gateway Borough,55.449938,-131.106685
AK,2150,1419974,Kodiak Island Borough,57.7044,-153.918372
AK,2158,1419985,Kusilvak Census Area,62.283588,-163.190171
AK,2164,1419975,Lake and Peninsula Borough,58.108674,-156.414001
AK,2170,1419976,Matanuska-Susitna Borough,62.279075,-149.617562
AK,2180,1419977,Nome Census Area,64.783686,-164.188912
AK,2185,1419978,North Slope Borough,69.449343,-153.47283
AK,2188,1419979,Northwest Arctic Borough,67.005066,-160.021086
AK,2195,2516404,Petersburg Borough,57.112458,-133.008598
AK,2198,1419980,Prince of Wales-Hyder Census Area,55.682773,-133.162389
AK,2220,1419981,Sitka City and Borough,57.193204,-135.367396
AK,2230,2339479,Skagway Municipality,59.575097,-135.335418
AK,2240,1419983,Southeast Fairbanks Census Area,63.864997,-143.218628
AK,2261,1419984,Valdez-Cordova Census Area,61.34984,-145.023141
AK,2275,2516402,Wrangell City and Borough,56.317416,-132.343978
AK,2282,1419986,Yakutat City and Borough,59.963024,-141.761587
AK,2290,1419987,Yukon-Koyukuk Census Area,65.375718,-151.577873
AZ,4001,25441,Apache County,35.385084,-109.490172
AZ,4003,25442,Cochise County,31.840129,-109.775163
AZ,4005,25443,Coconino County,35.829692,-111.773728
AZ,4007,40471,Gila County,33.789618,-110.81187
AZ,4009,25444,Graham County,32.931828,-109.87831
AZ,4011,42807,Greenlee County,33.238872,-109.242323
AZ,4012,43540,La Paz County,33.72761,-114.038806
AZ,4013,37026,Maricopa County,33.346541,-112.495534
AZ,4015,25445,Mohave County,35.717705,-113.749689
AZ,4017,42808,Navajo County,35.390785,-110.321025
AZ,4019,25446,Pima County,32.128523,-111.783027
AZ,4021,25447,Pinal County,32.918538,-111.366387
AZ,4023,40472,Santa Cruz County,31.525733,-110.845228
AZ,4025,42809,Yavapai County,34.631212,-112.577385
AZ,4027,23901,Yuma County,32.773942,-113.910905
AR,5001,63755,Arkansas County,34.28957,-91.376547
AR,5003,63756,Ashley County,33.190835,-91.772267
AR,5005,69895,Baxter County,36.280759,-92.330476
AR,5007,69896,Benton County,36.337836,-94.256224
AR,5009,69897,Boone County,36.304299,-93.079236
AR,5011,63757,Bradley County,33.466549,-92.169156
AR,5013,63758,Calhoun County,33.56046,-92.513879
AR,5015,66975,Carroll County,36.337774,-93.541663
AR,5017,69160,Chicot County,33.267139,-91.297158
AR,5019,66845,Clark County,34.053316,-93.176208
AR,5021,63759,Clay County,36.367302,-90.418704
AR,5023,66983,Cleburne County,35.566315,-92.05995
AR,5025,63760,Cleveland County,33.893201,-92.188714
