Notes,State,State Code,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate
,Alabama,1,"Autauga County, AL",1001,2015,2015,150,30006,499.9,514
,Alabama,1,"Baldwin County, AL",1003,2015,2015,671,120386,557.4,488.9
,Alabama,1,"Barbour County, AL",1005,2015,2015,109,14829,735,648.6
,Alabama,1,"Bibb County, AL",1007,2015,2015,85,12723,668.1,657.5
,Alabama,1,"Blount County, AL",1009,2015,2015,197,32967,597.6,554.2
,Alabama,1,"Bullock County, AL",1011,2015,2015,38,5960,637.6,593.2
,Alabama,1,"Butler County, AL",1013,2015,2015,101,11419,884.5,691.8
,Alabama,1,"Calhoun County, AL",1015,2015,2015,529,64064,825.7,751.2
,Alabama,1,"Chambers County, AL",1017,2015,2015,119,19950,596.5,505.9
,Alabama,1,"Cherokee County, AL",1019,2015,2015,132,16236,813,709.3
,Alabama,1,"Chilton County, AL",1021,2015,2015,175,24253,721.6,688.8
,Alabama,1,"Choctaw County, AL",1023,2015,2015,69,8130,848.7,662.4
,Alabama,1,"Clarke County, AL",1025,2015,2015,94,14360,654.6,554.2
,Alabama,1,"Clay County, AL",1027,2015,2015,74,8167,906.1,730.3
,Alabama,1,"Cleburne County, AL",1029,2015,2015,74,8726,848,725.7
,Alabama,1,"Coffee County, AL",1031,2015,2015,176,28319,621.5,579
,Alabama,1,"Colbert County, AL",1033,2015,2015,263,31874,825.1,687.4
,Alabama,1,"Conecuh County, AL",1035,2015,2015,61,7604,802.2,641.9
,Alabama,1,"Coosa County, AL",1037,2015,2015,47,6913,679.9,622.6
,Alabama,1,"Covington County, AL",1039,2015,2015,204,22306,914.6,702.2
,Alabama,1,"Crenshaw County, AL",1041,2015,2015,72,8055,893.9,762.6
,Alabama,1,"Cullman County, AL",1043,2015,2015,294,46859,627.4,572.6
,Alabama,1,"Dale County, AL",1045,2015,2015,168,26267,639.6,585.1
,Alabama,1,"Dallas County, AL",1047,2015,2015,192,22202,864.8,770.4
,Alabama,1,"DeKalb County, AL",1049,2015,2015,265,39259,675,652
,Alabama,1,"Elmore County, AL",1051,2015,2015,244,44462,548.8,575.6
,Alabama,1,"Escambia County, AL",1053,2015,2015,154,21213,726,649.2
,Alabama,1,"Etowah County, AL",1055,2015,2015,486,59570,815.8,716
,Alabama,1,"Fayette County, AL",1057,2015,2015,78,9971,782.3,675.4
,Alabama,1,"Franklin County, AL",1059,2015,2015,134,17217,778.3,704
,Alabama,1,"Geneva County, AL",1061,2015,2015,118,15918,741.3,627.6
,Alabama,1,"Greene County, AL",1063,2015,2015,44,4877,902.2,787.3
,Alabama,1,"Hale County, AL",1065,2015,2015,58,8486,683.5,568.8
