GEOID,Percent_Adults_bachelor's_ degree or higher
01001,24.6
01003,29.5
01005,12.9
01007,12
01009,13.1
01011,10.3
01013,16.1
01015,17.7
01017,12.5
01019,14
01021,14.9
01023,12
01025,12.1
01027,11.1
01029,11.5
01031,23.7
01033,18.5
01035,8.7
01037,9.9
01039,14.9
01041,14.6
01043,15
01045,16.1
01047,13.8
01049,11.4
01051,22.2
01053,11.6
01055,16.5
01057,14.1
01059,12.4
01061,11.7
01063,10
01065,14
01067,16.1
01069,21
01071,12.6
01073,31.4
01075,13.1
01077,21.7
01079,10.3
01081,34.4
01083,23.3
01085,12.3
01087,20
01089,40.7
01091,14.8
01093,12.5
01095,16.6
01097,22.5
01099,12.4
01101,31.5
01103,21.4
01105,14.5
01107,11.1
01109,24
01111,15.4
01113,17
01115,16.1
01117,41.4
01119,18.1
01121,13.1
01123,17.3
01125,29.4
01127,10.5
01129,9.6
01131,11.3
01133,13.1
02000,28.8
02010,
02013,11.9
02016,15.7
02020,34.3
02050,11.4
02060,19.1
02068,38.5
02070,17.6
02090,33.4
02100,40.4
02105,24.3
02110,39.4
02122,23.7
02130,23.8
02150,24.9
02158,4.8
02160,
02164,12.5
02170,20.6
02180,13.9
02185,14.2
02188,10.8
02195,25
02198,15.8
02201,
02220,32.4
02230,33.7
02231,
02232,
02240,19.2
02250,
02261,30.1
02275,20.3
02280,
02282,19.7
02290,12.3
04000,28
04001,11.1
04003,23.2
04005,34.2
04007,17.7
04009,13.3
04011,12.2
04012,10.4
04013,31
04015,11.9
04017,14.5
04019,30.8
04021,18.5
04023,22.5
04025,25.5
04027,14.4
05000,21.5
05001,14.4
05003,13.6
05005,17.7
05007,30.7
05009,15
05011,14.2
05013,12
05015,17.7
05017,13.1
05019,24.7
05021,11.3
05023,15.4
05025,15.7
05027,21.9
05029,16.9
05031,25.4
05033,13.6
05035,17.4
05037,14.7
05039,12.7
05041,13.2
05043,19.8
05045,29.1
05047,13
05049,11
05051,20.6
05053,19.8
05055,16.4
05057,12.6
05059,13.5
05061,15.7
05063,17.6
05065,12.4
05067,8.6
05069,17
05071,15.9
05073,13.7
05075,13.4
05077,8.2
05079,7.8
05081,9.7
05083,13
05085,19.5
05087,11.3
05089,15.3
05091,14.5
05093,12.6
05095,9.1
05097,12.5
05099,15.1
05101,14.8
05103,16.6
05105,10.6
05107,11.7
05109,14.8
05111,9.6
05113,12.3
05115,21.3
05117,13
05119,32.9
05121,13.7
05123,10.4
05125,24.5
05127,10.6
05129,14.4
05131,18.8
05133,9.4
05135,10.1
05137,14.4
05139,19.2
05141,13.6
05143,31.2
05145,19.3
05147,10.2
05149,14.4
06000,32
06001,43.9
06003,29.7
06005,21.5
06007,26.1
06009,20.2
06011,14.4
06013,40.3
06015,14.9
06017,33
06019,19.7
06021,12.7
06023,28.2
06025,14
06027,24.5
06029,15.7
06031,12.8
06033,16.2
06035,12.5
06037,30.8
06039,13.1
06041,57.1
06043,22.6
06045,24.1
06047,13.7
06049,18.3
06051,30.6
06053,23.6
06055,33
06057,34.4
06059,38.4
06061,36.9
06063,21.9
06065,21.2
06067,29.3
06069,19
06071,19.3
06073,36.5
06075,54.8
06077,18.2
06079,34.1
06081,47.1
06083,32.2
06085,49.1
06087,39
06089,20.1
06091,19.8
06093,22.2
06095,25.1
06097,33.1
06099,16.5
06101,17.9
06103,13.8
06105,20.1
06107,14
06109,19.7
06111,32.2
06113,40
06115,15.5
08000,38.7
08001,22.4
08003,25.8
08005,40.7
08007,34.9
08009,21.8
08011,9.5
08013,59.3
08014,52.5
08015,34.4
08017,23.3
08019,44.6
08021,18.3
08023,20
08025,10.2
08027,29.4
08029,19.6
08031,45.7
08033,20.3
08035,57.5
08037,45
08039,32.8
08041,36.6
08043,16.4
08045,29.1
08047,34.4
08049,37.2
08051,52.6
08053,40.9
08055,26
08057,19.1
08059,42.2
08061,20.2
08063,13.8
08065,30.9
08067,43
08069,45.3
08071,18.9
08073,13.7
08075,16.7
08077,26.1
08079,42.5
08081,18.9
08083,27
08085,23.8
08087,16.1
08089,17.1
08091,54.5
08093,30.5
08095,20.4
08097,60.4
08099,15.4
08101,21.2
08103,21.8
08105,22.6
08107,49.4
08109,25.5
08111,28.4
08113,55.1
08115,19.8
08117,49.9
08119,32.6
08121,16
08123,26.8
08125,21.4
09000,38
09001,46.4
09003,36.9
09005,34
09007,40.9
09009,34.3
09011,32.4
09013,38.9
09015,23.9
10000,30.5
10001,23.1
10003,35.4
10005,23.9
11000,55.4
11001,55.4
12000,27.9
12001,41.5
12003,12.8
12005,22.5
12007,11.8
12009,27.7
12011,31
12013,10.5
12015,21.6
12017,17.8
12019,23.9
12021,33.9
12023,15.9
12027,10
12029,6.4
12031,28.1
12033,24.9
12035,23.3
12037,16.7
12039,17.5
12041,12.3
12043,8.9
12045,16.7
12047,10.2
12049,9.6
12051,9.1
12053,16.4
12055,16.5
12057,31.4
12059,12.3
12061,27.2
12063,13.7
12065,19
12067,13.6
12069,21.7
12071,26.7
12073,45.2
12075,11.2
12077,12.5
12079,12.3
12081,27.9
12083,18.4
12085,31.5
12086,27.3
12087,31.1
12089,24.5
12091,29.4
12093,10.7
12095,31.9
12097,18.7
12099,34.2
12101,22.5
12103,29.5
12105,19.5
12107,12.7
12109,42.5
12111,19.8
12113,26.9
12115,33.1
12117,35.8
12119,29.8
12121,12
12123,9.8
12125,7.6
12127,22.4
12129,16.6
12131,26.3
12133,11
13000,29.4
13001,11.9
13003,6.7
13005,13.2
13007,11
13009,18.4
13011,11
13013,16.8
13015,18.5
13017,10.6
13019,12.3
13021,24.6
13023,17.7
13025,9.5
