State,GEOID,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,Percent_Change_FFR_2009_2014,Poverty_rate_15,PCT_NHWHITE10,PCT_NHBLACK10,PCT_65OLDER10,PCH_RECFACPTH_09_14,PCT_OBESE_ADULTS13,PCT_DIABETES_ADULTS13,State_name,NAME
AL,01001,Autauga,30,36,20,0.55417013,0.649878148,17.27051178,12.7,77.24615638,17.58259882,11.99538216,22.1567831,34.1,13,Alabama,"Autauga County, Alabama"
AL,01003,Baldwin,112,132,17.85714286,0.624282354,0.659633903,5.662750031,12.9,83.50478699,9.308424547,16.77118481,24.51839229,27.4,10.4,Alabama,"Baldwin County, Alabama"
AL,01005,Barbour,21,22,4.761904762,0.759301443,0.818239298,7.762115521,32,46.75310485,46.69118986,14.23680664,-100,44.4,18.4,Alabama,"Barbour County, Alabama"
AL,01007,Bibb,7,5,-28.57142857,0.305130552,0.222162979,-27.19084435,22.2,75.02072878,21.9245036,12.68164957,1.932817915,40.3,14.8,Alabama,"Bibb County, Alabama"
AL,01009,Blount,24,21,-12.5,0.418548682,0.363831667,-13.07303488,14.7,88.88733819,1.263040368,14.72209623,-0.654897001,34.6,14.1,Alabama,"Blount County, Alabama"
AL,01011,Bullock,4,3,-25,0.364066624,0.2787068,-23.44620959,39.6,21.9168041,69.97434488,13.45977643,0,43,19.6,Alabama,"Bullock County, Alabama"
AL,01013,Butler,17,17,0,0.814683472,0.837603469,2.813362239,25.8,54.06024729,43.1899556,16.6563231,,36.3,17.7,Alabama,"Butler County, Alabama"
AL,01015,Calhoun,95,103,8.421052632,0.802615682,0.888574485,10.70983344,20,73.61350066,20.3901427,14.32884661,2.111011422,32.2,14.9,Alabama,"Calhoun County, Alabama"
AL,01017,Chambers,22,26,18.18181818,0.63983248,0.763000352,19.25001868,22.4,58.14116616,38.59710653,16.6768961,-100,39.7,16.4,Alabama,"Chambers County, Alabama"
AL,01019,Cherokee,16,15,-6.25,0.618859751,0.576103238,-6.908918078,19.4,92.07356959,4.640424795,17.89603294,-0.70284595,33.6,13.3,Alabama,"Cherokee County, Alabama"
AL,01021,Chilton,23,20,-13.04347826,0.528930181,0.455259384,-13.92826498,20.2,81.10120752,9.557088193,13.56689503,-34.01166982,35.9,13.3,Alabama,"Chilton County, Alabama"
AL,01023,Choctaw,4,6,50,0.286204923,0.45034902,57.35194776,24.4,55.55956418,43.22101162,18.17591457,0,40.8,18.1,Alabama,"Choctaw County, Alabama"
AL,01025,Clarke,23,26,13.04347826,0.883324372,1.042293045,17.99663608,22.2,53.97359966,43.66507955,16.15762784,56.57245941,38.2,16.3,Alabama,"Clarke County, Alabama"
AL,01027,Clay,4,4,0,0.285591889,0.295159386,3.350059032,18.4,80.2899799,14.69997129,17.57823715,0,37.3,14.6,Alabama,"Clay County, Alabama"
AL,01029,Cleburne,7,8,14.28571429,0.469231801,0.530503979,13.05797651,18.9,93.21399947,3.299492386,15.76943628,,30,12.6,Alabama,"Cleburne County, Alabama"
AL,01031,Coffee,35,34,-2.857142857,0.707928803,0.667858335,-5.660239699,16.2,72.34323697,16.53119244,14.43501241,-22.30843269,33.7,15.9,Alabama,"Coffee County, Alabama"
AL,01033,Colbert,41,52,26.82926829,0.75331643,0.953376235,26.55720727,18.1,79.61710884,15.98809436,17.38627177,49.67823552,37.5,18.7,Alabama,"Colbert County, Alabama"
AL,01035,Conecuh,5,7,40,0.376676209,0.552486188,46.67403315,28.3,51.13395827,46.28061687,17.8560629,0,36.4,17.4,Alabama,"Conecuh County, Alabama"
AL,01037,Coosa,0,1,NA,0,0.091861106,NA,20.3,65.89825808,30.81722853,17.07253661,0,39.7,17.3,Alabama,"Coosa County, Alabama"
AL,01039,Covington,25,24,-4,0.664045899,0.633011552,-4.673524292,22.3,84.07520191,12.40566662,18.37415596,48.94761829,34,14.7,Alabama,"Covington County, Alabama"
AL,01041,Crenshaw,3,5,66.66666667,0.213918996,0.357730557,67.22711121,19.9,72.05522796,23.30648641,15.89242054,0,39.7,16.5,Alabama,"Crenshaw County, Alabama"
AL,01043,Cullman,50,53,6,0.622269791,0.651994735,4.776857877,19.4,92.73934781,1.021068079,15.93164689,-25.86543075,33.4,14.4,Alabama,"Cullman County, Alabama"
AL,01045,Dale,33,34,3.03030303,0.661932844,0.687090777,3.800677538,18.5,71.05331237,18.99663688,13.4504786,0.747716434,36.5,14.1,Alabama,"Dale County, Alabama"
AL,01047,Dallas,20,19,-5,0.457048836,0.455515332,-0.335523004,34.6,28.9274304,69.17845733,14.0689183,109.8199516,40.8,19,Alabama,"Dallas County, Alabama"
AL,01049,DeKalb,41,43,4.87804878,0.578573041,0.605079856,4.58141207,20.6,81.56070258,1.44707421,13.88713102,-25.21212974,30.4,13.4,Alabama,"DeKalb County, Alabama"
AL,01051,Elmore,29,45,55.17241379,0.368806593,0.555713351,50.67880066,14,74.96437714,19.94123804,11.89866714,-2.895884016,35.4,13.4,Alabama,"Elmore County, Alabama"
AL,01053,Escambia,22,27,22.72727273,0.575178436,0.715554024,24.40557217,24.4,61.34815627,31.73882408,15.16741042,1.367503246,37.7,17.8,Alabama,"Escambia County, Alabama"
