"","State","FIPS","County","FFR09","FFR14","PCH_FFR_09_14","FFRPTH09","FFRPTH14","PCH_FFRPTH_09_14","State_name"
"1","AK","02013","Aleutians East",1,1,0,0.324254215,0.297619048,-8.214285714,"Alaska"
"2","AK","02016","Aleutians West",2,0,-100,0.361206429,0,-100,"Alaska"
"3","AK","02050","Bethel",5,7,40,0.296559905,0.391761809,32.10208193,"Alaska"
"4","AK","02060","Bristol Bay",0,0,0,0,0,0,"Alaska"
"5","AK","02068","Denali",1,2,100,0.550357733,1.041124414,89.17230609,"Alaska"
"6","AK","02020","Anchorage",207,204,-1.449275362,0.719557003,0.677718348,-5.814501805,"Alaska"
"7","AK","02090","Fairbanks North Star",43,49,13.95348837,0.451500452,0.49317109,9.229368093,"Alaska"
"8","AK","02100","Haines",1,1,0,0.402252615,0.389711613,-3.117692907,"Alaska"
"9","AK","02105","Hoonah-Angoon",0,2,NA,0,0,0,"Alaska"
"10","AK","02070","Dillingham",0,1,NA,0,0.200481155,NA,"Alaska"
"11","AK","02122","Kenai Peninsula",36,39,8.333333333,0.656982261,0.678532282,3.280152641,"Alaska"
"12","AK","02130","Ketchikan Gateway",7,12,71.42857143,0.526553332,0.870385145,65.29857319,"Alaska"
"13","AK","02150","Kodiak Island",6,7,16.66666667,0.444279896,0.500500501,12.65432099,"Alaska"
"14","AK","02164","Lake and Peninsula",0,0,0,0,0,0,"Alaska"
"15","AK","02170","Matanuska-Susitna",36,43,19.44444444,0.414340795,0.439304469,6.024913218,"Alaska"
"16","AK","02180","Nome",4,1,-75,0.429507141,0.101864113,-76.28348783,"Alaska"
"17","AK","02185","North Slope",4,2,-50,0.439319055,0.206121818,-53.08152118,"Alaska"
"18","AK","02188","Northwest Arctic",1,2,100,0.133922593,0.25916807,93.52079824,"Alaska"
"19","AK","02195","Petersburg",0,4,NA,0,0,0,"Alaska"
"20","AK","02198","Prince of Wales-Hyder",0,3,NA,0,0,0,"Alaska"
"21","AK","02220","Sitka",4,4,0,0.452284034,0.449438202,-0.629213483,"Alaska"
"22","AK","02230","Skagway",0,2,NA,0,0,0,"Alaska"
"23","AK","02240","Southeast Fairbanks",6,2,-66.66666667,0.862688713,0.28855865,-66.55124321,"Alaska"
"24","AK","02261","Valdez-Cordova",9,9,0,0.948166877,0.94856661,0.0421585,"Alaska"
"25","AK","02270","Wade Hampton",0,0,0,0,0,0,"Alaska"
"26","AK","02275","Wrangell",0,1,NA,0,0,0,"Alaska"
"27","AK","02282","Yakutat",1,0,-100,1.503759398,0,-100,"Alaska"
"28","AK","02290","Yukon-Koyukuk",0,0,0,0,0,0,"Alaska"
"29","AK","02110","Juneau",22,31,40.90909091,0.712966264,0.956612973,34.17366593,"Alaska"
"30","AL","01001","Autauga",30,36,20,0.55417013,0.649878148,17.27051178,"Alabama"
"31","AL","01003","Baldwin",112,132,17.85714286,0.624282354,0.659633903,5.662750031,"Alabama"
"32","AL","01005","Barbour",21,22,4.761904762,0.759301443,0.818239298,7.762115521,"Alabama"
"33","AL","01009","Blount",24,21,-12.5,0.418548682,0.363831667,-13.07303488,"Alabama"
