"","County","FIPS","State_name","State","lat","long","group","FFRPTH14","FSRPTH14","n"
"1","Abbeville",45001,"South carolina","SC",34.4175758361816,-82.2480926513672,2285,0.360504707,0.360504707,2
"2","Acadia",22001,"Louisiana","LA",30.4813556671143,-92.6186294555664,1079,0.448100374,0.320071696,2
"3","Accomack",51001,"Virginia","VA",37.9985618591309,-75.6189727783203,2791,0.545107659,1.090215318,2
"4","Ada",16001,"Idaho","ID",43.2984199523926,-116.505241394043,517,0.720258261,0.778911214,2
"5","Adair",19001,"Iowa","IA",41.5050621032715,-94.2458267211914,755,0.402468473,0.670780789,2
"6","Adair",21001,"Iowa","KY",41.5050621032715,-94.2458267211914,755,0.312434909,0.572797334,2
"7","Adair",29001,"Iowa","MO",41.5050621032715,-94.2458267211914,755,0.78118897,0.546832279,2
"8","Adair",40001,"Iowa","OK",41.5050621032715,-94.2458267211914,755,0.405661228,0.180293879,2
"9","Adams",8001,"Colorado","CO",40.0096435546875,-104.146537780762,215,0.657350047,0.468049875,2
"10","Adams",16003,"Colorado","ID",40.0096435546875,-104.146537780762,215,0.259000259,1.813001813,2
"11","Adams",17001,"Colorado","IL",40.0096435546875,-104.146537780762,215,0.477697498,0.850898668,2
"12","Adams",18001,"Colorado","IN",40.0096435546875,-104.146537780762,215,0.459889052,0.60360438,2
"13","Adams",19003,"Colorado","IA",40.0096435546875,-104.146537780762,215,0.516129032,0.774193548,2
"14","Adams",28001,"Colorado","MS",40.0096435546875,-104.146537780762,215,0.945268929,0.630179286,2
"15","Adams",31001,"Colorado","NE",40.0096435546875,-104.146537780762,215,1.080840512,0.635788537,2
"16","Adams",38001,"Colorado","ND",40.0096435546875,-104.146537780762,215,0,1.677852349,2
"17","Adams",39001,"Colorado","OH",40.0096435546875,-104.146537780762,215,0.533257492,0.284403996,2
"18","Adams",42001,"Colorado","PA",40.0096435546875,-104.146537780762,215,0.717698645,0.678372692,2
"19","Adams",53001,"Colorado","WA",40.0096435546875,-104.146537780762,215,0.677824704,0.469263257,2
"20","Adams",55001,"Colorado","WI",40.0096435546875,-104.146537780762,215,0.5936186,0.74202325,2
"21","Addison",50001,"Vermont","VT",44.2724494934082,-73.3271408081055,2776,0.459347726,0.756572726,2
"22","Aiken",45003,"South carolina","SC",33.4893836975098,-81.382926940918,2286,0.667666143,0.588760144,2
"23","Aitkin",27001,"Minnesota","MN",47.0226440429688,-93.0368881225586,1281,0.570667681,1.268150403,2
"24","Alachua",12001,"Florida","FL",29.816722869873,-82.6606216430664,290,0.752788829,0.752788829,2
"25","Alamance",37001,"North carolina","NC",35.84423828125,-79.5380020141602,1857,0.808770669,0.74458252,2
"26","Alameda",6001,"California","CA",37.4828987121582,-121.478507995605,157,0.767262951,0.96590708,2
"27","Alamosa",8003,"Colorado","CO",37.3912239074707,-106.054481506348,216,0.865426222,0.927242381,2
"28","Albany",36001,"New york","NY",42.4676284790039,-73.7854995727539,1795,1.05136434,1.093548712,2
"29","Albany",56001,"New york","WY",42.4676284790039,-73.7854995727539,1795,0.714077914,0.925656555,2
"30","Albemarle",51003,"Virginia","VA",38.1876373291016,-78.3634338378906,2792,0.555082353,0.60293428,2
"31","Alcona",26001,"Michigan","MI",44.8568649291992,-83.8867492675781,1198,0.382628659,0.956571647,2
"32","Alcorn",28003,"Mississippi","MS",34.7556190490723,-88.7225112915039,1369,0.722311396,0.856072766,2
"33","Alexander",17003,"Illinois","IL",37.345386505127,-89.2152633666992,562,0,0.53390283,2
"34","Alexander",37003,"Illinois","NC",37.345386505127,-89.2152633666992,562,0.427899016,0.454642704,2
"35","Alfalfa",40003,"Oklahoma","OK",36.9958839416504,-98.3539352416992,2101,0.345423143,1.03626943,2
"36","Alger",26003,"Michigan","MI",46.1632080078125,-86.631217956543,1199,0.528597103,1.268633048,2
"37","Allamakee",19005,"Iowa","IA",43.4989547729492,-91.2263412475586,757,0.213705656,1.424704374,2
"38","Allegan",26005,"Michigan","MI",42.7713012695312,-85.7717819213867,1200,0.474320799,0.70269748,2
"39","Allegany",24001,"Maryland","MD",39.5398178100586,-78.6499176025391,1160,0.84987389,0.671674526,2
"40","Allegany",36003,"Maryland","NY",39.5398178100586,-78.6499176025391,1160,0.377073906,0.837942014,2
"41","Alleghany",37005,"North carolina","NC",36.5776252746582,-81.3657379150391,1859,0.367680853,1.286882986,2
"42","Alleghany",51005,"North carolina","VA",36.5776252746582,-81.3657379150391,1859,0.442477876,0.442477876,2
"43","Allegheny",42003,"Pennsylvania","PA",40.6742744445801,-80.1453399658203,2214,0.809742905,0.86009803,2
"44","Allen",18003,"Indiana","IN",41.27587890625,-85.2045516967773,664,0.655884652,0.702343148,2
"45","Allen",20001,"Indiana","KS",41.27587890625,-85.2045516967773,664,0.387326671,0.697188008,2
"46","Allen",21003,"Indiana","KY",41.27587890625,-85.2045516967773,664,0.441522763,0.294348509,2
"47","Allen",22003,"Indiana","LA",41.27587890625,-85.2045516967773,664,0.388908334,0.350017501,2
"48","Allen",39003,"Indiana","OH",41.27587890625,-85.2045516967773,664,0.942498096,0.533130236,2
"49","Allendale",45005,"South carolina","SC",32.7388076782227,-81.4115753173828,2287,0.206291903,0.206291903,2
"50","Alpena",26007,"Michigan","MI",44.8683242797852,-83.365364074707,1201,0.724437698,0.931419898,2
"51","Alpine",6003,"California","CA",38.7090263366699,-120.074768066406,158,1.792114695,0.896057348,2
"52","Amador",6005,"California","CA",38.7090263366699,-120.074768066406,159,0.381035327,1.088672364,2
"53","Amelia",51007,"Virginia","VA",37.379768371582,-78.2431182861328,2794,0.311162972,0.311162972,2
"54","Amherst",51009,"Virginia","VA",37.6204071044922,-79.4291381835938,2795,0.499360195,0.468150183,2
"55","Amite",28005,"Mississippi","MS",31.3579788208008,-90.6419219970703,1370,0.237548499,0.158365666,2
"56","Anderson",20003,"Kansas","KS",38.3939018249512,-95.5235214233398,855,0.507421033,1.014842065,2
"57","Anderson",21005,"Kansas","KY",38.3939018249512,-95.5235214233398,855,0.868055556,0.365497076,2
"58","Anderson",45007,"Kansas","SC",38.3939018249512,-95.5235214233398,855,0.783154401,0.757222136,2
"59","Anderson",47001,"Kansas","TN",38.3939018249512,-95.5235214233398,855,0.847367864,0.476644423,2
"60","Anderson",48001,"Kansas","TX",38.3939018249512,-95.5235214233398,855,0.416471446,0.451177399,2
"61","Andrew",29003,"Missouri","MO",40.1414260864258,-94.5953369140625,1451,0.23016284,0.28770355,2
"62","Andrews",48003,"Texas","TX",32.085636138916,-102.204208374023,2493,0.57218058,0.57218058,2
"63","Androscoggin",23001,"Maine","ME",44.4672546386719,-70.2331695556641,1144,0.707371556,0.716679077,2
"64","Angelina",48005,"Texas","TX",31.123067855835,-94.131233215332,2494,0.729344729,0.535612536,2
"65","Anoka",27003,"Minnesota","MN",45.2464752197266,-93.5181732177734,1282,0.587953104,0.427070414,2
"66","Anson",37007,"North carolina","NC",34.807186126709,-79.9104232788086,1860,0.543372793,0.426935766,2
"67","Antelope",31003,"Nebraska","NE",42.4160652160645,-97.8382720947266,1623,0.625195374,1.094091904,2
"68","Antrim",26009,"Michigan","MI",44.8625946044922,-84.8378601074219,1202,0.55873125,1.031503847,2
"69","Apache",4001,"Arizona","AZ",35.9989395141602,-109.04532623291,68,0.222754358,0.250598652,2
"70","Appanoose",19007,"Iowa","IA",40.9034576416016,-92.6300888061523,758,0.631861622,0.710844325,2
"71","Appling",13001,"Georgia","GA",31.948127746582,-82.4486236572266,358,0.701186624,0.485436893,2
"72","Appomattox",51011,"Virginia","VA",37.2365264892578,-78.6900253295898,2796,0.458145167,0.458145167,2
"73","Aransas",48007,"Texas","TX",28.3155746459961,-96.8012161254883,2495,0.680762454,1.281435207,2
"74","Arapahoe",8005,"Colorado","CO",39.5684623718262,-104.656471252441,217,0.738501117,0.753044903,2
"75","Archer",48009,"Texas","TX",33.455005645752,-98.4226913452148,2496,0.453977982,0.226988991,2
"76","Archuleta",8007,"Colorado","CO",36.9844245910645,-106.472747802734,218,0.571708592,2.0418164,2
"77","Arenac",26011,"Michigan","MI",43.997428894043,-84.1560363769531,1203,0.911873901,0.716472351,2
"78","Arkansas",5001,"Arkansas","AR",34.5722732543945,-91.3695755004883,82,0.591588685,0.645369474,2
"79","Arlington",51013,"Virginia","VA",38.9439430236816,-77.1373062133789,2797,1.044476175,1.075325683,2
"80","Armstrong",42005,"Pennsylvania","PA",40.9091873168945,-79.2114181518555,2215,0.398318212,0.516338423,2
"81","Armstrong",48011,"Pennsylvania","TX",40.9091873168945,-79.2114181518555,2215,1.023017903,0,2
"82","Aroostook",23003,"Maine","ME",45.6303596496582,-68.0215454101562,1145,0.719973505,0.849568736,2
"83","Arthur",31005,"Nebraska","NE",41.7399749755859,-101.424987792969,1624,0,2.207505519,2
"84","Ascension",22005,"Louisiana","LA",30.0573673248291,-91.1289367675781,1081,0.692136137,0.367430295,2
"85","Ashe",37009,"North carolina","NC",36.3770904541016,-81.2969818115234,1861,0.663570007,0.811030008,2
"86","Ashland",39005,"Ohio","OH",41.0065879821777,-82.1277694702148,2014,0.584519657,0.509097766,2
"87","Ashland",55003,"Ohio","WI",41.0065879821777,-82.1277694702148,2014,0.745202757,1.304104825,2
"88","Ashley",5003,"Arkansas","AR",33.002368927002,-92.062858581543,83,0.716058812,0.286423525,2
"89","Ashtabula",39007,"Ohio","OH",41.8373794555664,-80.5292205810547,2015,0.867154021,0.796571717,2
"90","Asotin",53003,"Washington","WA",45.9970512390137,-116.929229736328,2892,0.450673757,0.676010636,2
"91","Assumption",22007,"Louisiana","LA",30.0229873657227,-91.2320709228516,1082,0.173656334,0.173656334,2
"92","Atascosa",48013,"Texas","TX",29.1177139282227,-98.399772644043,2498,0.460501528,0.502365303,2
"93","Atchison",20005,"Kansas","KS",39.6544075012207,-95.5750885009766,856,0.726700176,0.726700176,2
"94","Atchison",29005,"Kansas","MO",39.6544075012207,-95.5750885009766,856,0.371609067,1.114827202,2
"95","Athens",39009,"Ohio","OH",39.2246894836426,-81.7324295043945,2016,0.911717893,0.448132524,2
"96","Atkinson",13003,"Georgia","GA",31.1918201446533,-82.735107421875,359,0.486440472,0.121610118,2
"97","Atlantic",34001,"New jersey","NJ",39.5168991088867,-74.9829864501953,1742,0.755789237,1.188187886,2
"98","Atoka",40005,"Oklahoma","OK",34.1540107727051,-96.400146484375,2102,0.507393447,0.579878226,2
"99","Attala",28007,"Mississippi","MS",32.8820457458496,-89.971565246582,1371,0.52183896,0.469655064,2
"100","Audrain",29007,"Missouri","MO",39.3450126647949,-92.2920455932617,1453,0.618070846,0.502182563,2
"101","Audubon",19009,"Iowa","IA",41.8602981567383,-95.1052627563477,759,0.172592337,0.517777011,2
"102","Auglaize",39011,"Ohio","OH",40.5367622375488,-83.8752899169922,2017,0.741694117,0.545363321,2
"103","Augusta",51015,"Virginia","VA",38.1876373291016,-79.5093536376953,2798,0.36554656,0.338469037,2
"104","Aurora",46003,"South dakota","SD",43.8484573364258,-98.3138275146484,2331,0.72859745,1.4571949,2
"105","Austin",48015,"Texas","TX",29.9485054016113,-96.5605773925781,2499,0.515216047,0.515216047,2
"106","Autauga",1001,"Alabama","AL",32.3491973876953,-86.5051651000977,1,0.649878148,0.523512952,2
"107","Avery",37011,"North carolina","NC",35.9187240600586,-81.9902572631836,1862,0.562651213,1.744218759,2
"108","Avoyelles",22009,"Louisiana","LA",30.9626407623291,-92.326416015625,1083,0.388868635,0.267347187,2
"109","Baca",8009,"Colorado","CO",37.0016136169434,-103.00634765625,219,0.274348422,0.274348422,2
"110","Bacon",13005,"Georgia","GA",31.6616497039795,-82.6434326171875,360,0.620512366,0.354578495,2
"111","Bailey",48017,"Texas","TX",34.3029823303223,-102.616744995117,2500,0.578871201,0.578871201,2
"112","Baker",12003,"Florida","FL",30.2636299133301,-82.0418243408203,291,0.590558447,0.479828738,2
