"","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14","long","lat","group","order","State_name"
"1","Abbeville",45001,"SC",0.360504707,-7.660324454,0.360504707,-7.660324454,-82.6377029418945,34.0795288085938,2285,67205,"South carolina"
"35","Acadia",22001,"LA",0.448100374,-5.047530647,0.320071696,15.69838703,-92.1488037109375,30.3381156921387,1079,32155,"Louisiana"
"79","Accomack",51001,"VA",0.545107659,-13.26298849,1.090215318,-1.541770716,-75.3668670654297,37.9011573791504,2790,81188,"Virginia"
"162","Ada",16001,"ID",0.720258261,-6.396055465,0.778911214,-0.109906729,-116.436485290527,43.2926902770996,517,20025,"Idaho"
"187","Adair",29001,"MO",0.78118897,-0.097648621,0.546832279,-30.06835404,-94.5609588623047,36.1135292053223,2100,61481,"Oklahoma"
"239","Adair",21001,"KY",0.312434909,-34.98229536,0.572797334,7.279212664,-94.5609588623047,36.1135292053223,2100,61481,"Oklahoma"
"291","Adair",19001,"IA",0.402468473,-22.76629997,0.670780789,2.978266702,-94.5609588623047,36.1135292053223,2100,61481,"Oklahoma"
"343","Adair",40001,"OK",0.405661228,13.97559272,0.180293879,-49.34418102,-94.5609588623047,36.1135292053223,2100,61481,"Oklahoma"
"395","Adams",31001,"NE",1.080840512,20.74532582,0.635788537,-0.562672855,-116.150001525879,44.7136268615723,518,20055,"Idaho"
"659","Adams",28001,"MS",0.945268929,38.80414887,0.630179286,-11.48720942,-116.150001525879,44.7136268615723,518,20055,"Idaho"
"923","Adams",18001,"IN",0.459889052,31.64707348,0.60360438,-5.752663306,-116.150001525879,44.7136268615723,518,20055,"Idaho"
"1187","Adams",39001,"OH",0.533257492,8.555989497,0.284403996,-18.94486118,-116.150001525879,44.7136268615723,518,20055,"Idaho"
"1451","Adams",16003,"ID",0.259000259,-48.1999482,1.813001813,20.86678753,-116.150001525879,44.7136268615723,518,20055,"Idaho"
"1715","Adams",53001,"WA",0.677824704,24.75363679,0.469263257,-28.02674801,-116.150001525879,44.7136268615723,518,20055,"Idaho"
