Ten-Year Age Groups,Age_group,Gender,Year,Year Code,Deaths,Population,Crude_Rate
25-34 years,25-34,Female,1999,1999,1078,19945090,5.4
25-34 years,25-34,Female,2000,2000,1036,19771195,5.2
25-34 years,25-34,Female,2001,2001,1092,19567043,5.6
25-34 years,25-34,Female,2002,2002,1034,19518779,5.3
25-34 years,25-34,Female,2003,2003,1121,19500922,5.7
25-34 years,25-34,Female,2004,2004,1020,19520225,5.2
25-34 years,25-34,Female,2005,2005,1043,19547698,5.3
25-34 years,25-34,Female,2006,2006,1009,19626340,5.1
25-34 years,25-34,Female,2007,2007,1046,19788593,5.3
25-34 years,25-34,Female,2008,2008,1078,20019411,5.4
25-34 years,25-34,Female,2009,2009,1010,20267430,5
25-34 years,25-34,Female,2010,2010,1010,20431857,4.9
25-34 years,25-34,Female,2011,2011,1091,20746335,5.3
25-34 years,25-34,Female,2012,2012,1017,20970529,4.8
25-34 years,25-34,Female,2013,2013,1044,21203096,4.9
25-34 years,25-34,Female,2014,2014,1075,21546290,5
25-34 years,25-34,Female,2015,2015,1225,21838064,5.6
25-34 years,25-34,Female,2016,2016,1141,22077505,5.2
25-34 years,25-34,Female,2017,2017,1232,22351311,5.5
25-34 years,25-34,Male,1999,1999,1988,20233316,9.8
25-34 years,25-34,Male,2000,2000,1922,20120529,9.6
25-34 years,25-34,Male,2001,2001,2068,19904479,10.4
25-34 years,25-34,Male,2002,2002,2131,19830867,10.7
25-34 years,25-34,Male,2003,2003,2129,19742873,10.8
25-34 years,25-34,Male,2004,2004,2143,19746331,10.9
25-34 years,25-34,Male,2005,2005,2206,19710949,11.2
25-34 years,25-34,Male,2006,2006,2298,19768839,11.6
25-34 years,25-34,Male,2007,2007,2177,19924870,10.9
25-34 years,25-34,Male,2008,2008,2176,20188062,10.8
25-34 years,25-34,Male,2009,2009,2164,20455912,10.6
25-34 years,25-34,Male,2010,2010,2212,20632091,10.7
25-34 years,25-34,Male,2011,2011,2210,21044163,10.5
25-34 years,25-34,Male,2012,2012,2214,21338792,10.4
25-34 years,25-34,Male,2013,2013,2214,21641491,10.2
25-34 years,25-34,Male,2014,2014,2266,21970214,10.3
25-34 years,25-34,Male,2015,2015,2297,22299138,10.3
25-34 years,25-34,Male,2016,2016,2304,22599738,10.2
25-34 years,25-34,Male,2017,2017,2449,22991361,10.7
35-44 years,35-44,Female,1999,1999,3960,22669604,17.5
35-44 years,35-44,Female,2000,2000,3895,22700729,17.2
35-44 years,35-44,Female,2001,2001,3980,22642429,17.6
35-44 years,35-44,Female,2002,2002,4050,22439455,18
35-44 years,35-44,Female,2003,2003,4137,22206703,18.6
35-44 years,35-44,Female,2004,2004,3914,22015734,17.8
35-44 years,35-44,Female,2005,2005,3757,21865343,17.2
35-44 years,35-44,Female,2006,2006,3714,21727611,17.1
35-44 years,35-44,Female,2007,2007,3494,21502002,16.2
35-44 years,35-44,Female,2008,2008,3484,21195733,16.4
35-44 years,35-44,Female,2009,2009,3343,20841610,16
35-44 years,35-44,Female,2010,2010,3228,20634607,15.6
35-44 years,35-44,Female,2011,2011,3242,20404484,15.9
35-44 years,35-44,Female,2012,2012,3258,20342813,16
35-44 years,35-44,Female,2013,2013,3189,20307429,15.7
35-44 years,35-44,Female,2014,2014,3347,20353904,16.4
35-44 years,35-44,Female,2015,2015,3293,20386206,16.2
35-44 years,35-44,Female,2016,2016,3330,20317393,16.4
35-44 years,35-44,Female,2017,2017,3327,20506270,16.2
35-44 years,35-44,Male,1999,1999,9640,22407073,43
35-44 years,35-44,Male,2000,2000,9286,22447798,41.4
35-44 years,35-44,Male,2001,2001,9346,22409323,41.7
35-44 years,35-44,Male,2002,2002,9638,22201194,43.4
35-44 years,35-44,Male,2003,2003,9463,21947503,43.1
35-44 years,35-44,Male,2004,2004,9011,21784541,41.4
35-44 years,35-44,Male,2005,2005,8931,21640195,41.3
35-44 years,35-44,Male,2006,2006,8625,21516190,40.1
35-44 years,35-44,Male,2007,2007,8345,21294228,39.2
35-44 years,35-44,Male,2008,2008,7852,20996753,37.4
35-44 years,35-44,Male,2009,2009,7738,20646201,37.5
35-44 years,35-44,Male,2010,2010,7366,20435999,36
35-44 years,35-44,Male,2011,2011,7393,20223470,36.6
35-44 years,35-44,Male,2012,2012,7231,20173607,35.8
35-44 years,35-44,Male,2013,2013,7152,20145261,35.5
35-44 years,35-44,Male,2014,2014,7021,20159229,34.8
35-44 years,35-44,Male,2015,2015,7094,20203577,35.1
35-44 years,35-44,Male,2016,2016,7147,20152763,35.5
35-44 years,35-44,Male,2017,2017,7074,20369100,34.7
45-54 years,45-54,Female,1999,1999,9505,18632305,51
45-54 years,45-54,Female,2000,2000,9553,19180722,49.8
45-54 years,45-54,Female,2001,2001,10119,20047081,50.5
45-54 years,45-54,Female,2002,2002,10331,20357603,50.7
45-54 years,45-54,Female,2003,2003,10428,20776919,50.2
45-54 years,45-54,Female,2004,2004,10506,21184129,49.6
45-54 years,45-54,Female,2005,2005,10617,21614529,49.1
45-54 years,45-54,Female,2006,2006,10662,22011575,48.4
45-54 years,45-54,Female,2007,2007,10523,22337962,47.1
45-54 years,45-54,Female,2008,2008,11021,22597536,48.8
45-54 years,45-54,Female,2009,2009,10495,22797854,46
45-54 years,45-54,Female,2010,2010,10642,22864357,46.5
45-54 years,45-54,Female,2011,2011,10409,22698956,45.9
45-54 years,45-54,Female,2012,2012,10338,22461868,46
45-54 years,45-54,Female,2013,2013,10337,22198448,46.6
45-54 years,45-54,Female,2014,2014,10475,22033807,47.5
45-54 years,45-54,Female,2015,2015,10377,21889385,47.4
45-54 years,45-54,Female,2016,2016,10273,21680540,47.4
45-54 years,45-54,Female,2017,2017,9850,21468595,45.9
45-54 years,45-54,Male,1999,1999,25489,17945514,142
45-54 years,45-54,Male,2000,2000,25927,18497230,140.2
45-54 years,45-54,Male,2001,2001,26280,19339187,135.9
45-54 years,45-54,Male,2002,2002,27239,19634591,138.7
45-54 years,45-54,Male,2003,2003,27304,20043035,136.2
45-54 years,45-54,Male,2004,2004,27050,20445801,132.3
45-54 years,45-54,Male,2005,2005,27486,20881375,131.6
45-54 years,45-54,Male,2006,2006,27433,21274584,128.9
45-54 years,45-54,Male,2007,2007,26911,21601977,124.6
45-54 years,45-54,Male,2008,2008,26871,21862911,122.9
45-54 years,45-54,Male,2009,2009,26432,22069234,119.8
45-54 years,45-54,Male,2010,2010,26087,22142359,117.8
45-54 years,45-54,Male,2011,2011,25691,22019247,116.7
45-54 years,45-54,Male,2012,2012,24927,21806870,114.3
45-54 years,45-54,Male,2013,2013,24830,21569084,115.1
45-54 years,45-54,Male,2014,2014,24316,21425044,113.5
45-54 years,45-54,Male,2015,2015,23871,21298776,112.1
45-54 years,45-54,Male,2016,2016,23754,21106139,112.5
45-54 years,45-54,Male,2017,2017,22808,20906357,109.1
55-64 years,55-64,Female,1999,1999,20505,12378763,165.6
55-64 years,55-64,Female,2000,2000,20114,12629328,159.3
55-64 years,55-64,Female,2001,2001,19967,13043566,153.1
55-64 years,55-64,Female,2002,2002,20334,13853658,146.8
55-64 years,55-64,Female,2003,2003,20538,14519419,141.5
55-64 years,55-64,Female,2004,2004,19825,15185747,130.6
55-64 years,55-64,Female,2005,2005,20313,15868410,128
55-64 years,55-64,Female,2006,2006,20300,16532054,122.8
55-64 years,55-64,Female,2007,2007,19969,17148671,116.4
55-64 years,55-64,Female,2008,2008,20441,17681763,115.6
55-64 years,55-64,Female,2009,2009,20459,18329541,111.6
55-64 years,55-64,Female,2010,2010,20644,18881581,109.3
55-64 years,55-64,Female,2011,2011,21354,19703935,108.4
55-64 years,55-64,Female,2012,2012,21671,19983308,108.4
55-64 years,55-64,Female,2013,2013,21888,20359676,107.5
55-64 years,55-64,Female,2014,2014,22678,20755699,109.3
55-64 years,55-64,Female,2015,2015,23764,21163072,112.3
55-64 years,55-64,Female,2016,2016,24352,21464106,113.5
55-64 years,55-64,Female,2017,2017,24767,21737855,113.9
55-64 years,55-64,Male,1999,1999,43662,11399263,383
55-64 years,55-64,Male,2000,2000,43285,11645356,371.7
55-64 years,55-64,Male,2001,2001,42519,12061729,352.5
55-64 years,55-64,Male,2002,2002,43900,12849674,341.6
55-64 years,55-64,Male,2003,2003,44522,13489526,330
55-64 years,55-64,Male,2004,2004,43788,14119557,310.1
55-64 years,55-64,Male,2005,2005,44895,14773087,303.9
55-64 years,55-64,Male,2006,2006,45177,15398059,293.4
55-64 years,55-64,Male,2007,2007,45558,15979763,285.1
55-64 years,55-64,Male,2008,2008,46270,16475300,280.8
55-64 years,55-64,Male,2009,2009,46802,17076059,274.1
55-64 years,55-64,Male,2010,2010,47433,17601148,269.5
55-64 years,55-64,Male,2011,2011,48388,18358205,263.6
55-64 years,55-64,Male,2012,2012,49557,18602894,266.4
55-64 years,55-64,Male,2013,2013,50680,18956755,267.3
55-64 years,55-64,Male,2014,2014,51795,19321882,268.1
55-64 years,55-64,Male,2015,2015,53108,19714747,269.4
55-64 years,55-64,Male,2016,2016,54258,19999038,271.3
55-64 years,55-64,Male,2017,2017,55335,20257803,273.2
65-74 years,65-74,Female,1999,1999,50417,10125424,497.9
65-74 years,65-74,Female,2000,2000,47816,10087712,474
65-74 years,65-74,Female,2001,2001,45662,10043126,454.7
65-74 years,65-74,Female,2002,2002,43889,10016658,438.2
65-74 years,65-74,Female,2003,2003,41695,10048202,414.9
65-74 years,65-74,Female,2004,2004,38999,10110363,385.7
65-74 years,65-74,Female,2005,2005,37679,10198569,369.5
65-74 years,65-74,Female,2006,2006,35487,10350638,342.8
65-74 years,65-74,Female,2007,2007,34057,10595802,321.4
65-74 years,65-74,Female,2008,2008,34078,11004244,309.7
65-74 years,65-74,Female,2009,2009,33463,11375157,294.2
65-74 years,65-74,Female,2010,2010,33015,11616910,284.2
65-74 years,65-74,Female,2011,2011,33099,12005425,275.7
65-74 years,65-74,Female,2012,2012,34030,12782530,266.2
65-74 years,65-74,Female,2013,2013,35798,13419124,266.8
65-74 years,65-74,Female,2014,2014,36766,14049245,261.7
65-74 years,65-74,Female,2015,2015,39018,14658169,266.2
65-74 years,65-74,Female,2016,2016,40532,15239221,266
65-74 years,65-74,Female,2017,2017,41910,15806306,265.1
65-74 years,65-74,Male,1999,1999,78836,8293485,950.6
65-74 years,65-74,Male,2000,2000,74589,8303274,898.3
65-74 years,65-74,Male,2001,2001,70637,8341053,846.9
65-74 years,65-74,Male,2002,2002,68658,8371877,820.1
65-74 years,65-74,Male,2003,2003,65568,8452713,775.7
65-74 years,65-74,Male,2004,2004,61000,8557170,712.9
65-74 years,65-74,Male,2005,2005,59050,8683128,680.1
65-74 years,65-74,Male,2006,2006,57265,8852389,646.9
65-74 years,65-74,Male,2007,2007,55532,9102925,610
65-74 years,65-74,Male,2008,2008,56442,9501435,594
65-74 years,65-74,Male,2009,2009,56302,9857942,571.1
65-74 years,65-74,Male,2010,2010,55836,10096519,553
65-74 years,65-74,Male,2011,2011,56609,10476313,540.4
65-74 years,65-74,Male,2012,2012,59113,11202862,527.7
65-74 years,65-74,Male,2013,2013,62634,11797642,530.9
65-74 years,65-74,Male,2014,2014,64917,12349045,525.7
65-74 years,65-74,Male,2015,2015,68285,12892348,529.7
65-74 years,65-74,Male,2016,2016,71829,13391109,536.4
65-74 years,65-74,Male,2017,2017,74723,13877140,538.5
75-84 years,75-84,Female,1999,1999,113682,7411198,1533.9
75-84 years,75-84,Female,2000,2000,110367,7481827,1475.1
75-84 years,75-84,Female,2001,2001,108416,7589733,1428.5
75-84 years,75-84,Female,2002,2002,106364,7664104,1387.8
75-84 years,75-84,Female,2003,2003,102685,7713157,1331.3
75-84 years,75-84,Female,2004,2004,96567,7738742,1247.8
75-84 years,75-84,Female,2005,2005,94113,7753835,1213.8
75-84 years,75-84,Female,2006,2006,88073,7732685,1139
75-84 years,75-84,Female,2007,2007,83252,7694491,1082
75-84 years,75-84,Female,2008,2008,80421,7656443,1050.4
75-84 years,75-84,Female,2009,2009,75399,7590640,993.3
75-84 years,75-84,Female,2010,2010,72257,7584360,952.7
75-84 years,75-84,Female,2011,2011,69996,7602197,920.7
75-84 years,75-84,Female,2012,2012,68090,7624484,893
75-84 years,75-84,Female,2013,2013,67621,7686002,879.8
75-84 years,75-84,Female,2014,2014,66582,7789312,854.8
75-84 years,75-84,Female,2015,2015,67613,7899603,855.9
75-84 years,75-84,Female,2016,2016,66578,8056660,826.4
75-84 years,75-84,Female,2017,2017,67511,8298676,813.5
75-84 years,75-84,Male,1999,1999,112470,4813716,2336.4
75-84 years,75-84,Male,2000,2000,109693,4879353,2248.1
75-84 years,75-84,Male,2001,2001,108576,5003885,2169.8
75-84 years,75-84,Male,2002,2002,107217,5100760,2102
75-84 years,75-84,Male,2003,2003,104646,5183281,2018.9
