State,Gender,Age_group,Deaths,Population,Crude_Rate
Alabama,Female,25-34,695,5846272,11.9
Alabama,Male,25-34,1179,5678498,20.8
Alabama,Female,35-44,2323,6158050,37.7
Alabama,Male,35-44,4185,5882549,71.1
Alabama,Female,45-54,5785,6385531,90.6
Alabama,Male,45-54,11810,6037822,195.6
Alabama,Female,55-64,10342,5414228,191
Alabama,Male,55-64,20444,4935101,414.3
Alabama,Female,65-74,17179,3832617,448.2
Alabama,Male,65-74,26367,3207791,822
Alabama,Female,75-84,32880,2418788,1359.4
Alabama,Male,75-84,32247,1609834,2003.1
Alabama,Female,85+,50155,990988,5061.1
Alabama,Male,85+,23984,420645,5701.7
Alaska,Female,25-34,54,907303,6
Alaska,Male,25-34,92,998923,9.2
Alaska,Female,35-44,163,907065,18
Alaska,Male,35-44,364,965241,37.7
Alaska,Female,45-54,390,938891,41.5
Alaska,Male,45-54,1072,1026308,104.5
Alaska,Female,55-64,608,668087,91
Alaska,Male,55-64,1760,747104,235.6
Alaska,Female,65-74,810,317573,255.1
Alaska,Male,65-74,1809,337087,536.7
Alaska,Female,75-84,1291,148982,866.5
Alaska,Male,75-84,1664,125675,1324.1
Alaska,Female,85+,1589,54048,2940
Alaska,Male,85+,1154,29543,3906.2
Arizona,Female,25-34,296,7729821,3.8
Arizona,Male,25-34,692,8228036,8.4
Arizona,Female,35-44,959,7652170,12.5
Arizona,Male,35-44,2415,7818065,30.9
Arizona,Female,45-54,2856,7490474,38.1
Arizona,Male,45-54,7761,7266650,106.8
Arizona,Female,55-64,6395,6555065,97.6
Arizona,Male,55-64,16111,5950292,270.8
Arizona,Female,65-74,12338,4898287,251.9
Arizona,Male,65-74,23445,4396139,533.3
Arizona,Female,75-84,25841,2948377,876.4
Arizona,Male,75-84,32297,2432601,1327.7
Arizona,Female,85+,43785,1176118,3722.8
Arizona,Male,85+,29627,687367,4310.2
Arkansas,Female,25-34,347,3505906,9.9
Arkansas,Male,25-34,647,3528965,18.3
Arkansas,Female,35-44,1079,3596684,30
Arkansas,Male,35-44,2294,3551680,64.6
Arkansas,Female,45-54,3083,3692822,83.5
Arkansas,Male,45-54,6759,3571724,189.2
Arkansas,Female,55-64,5826,3224037,180.7
Arkansas,Male,55-64,12222,2990964,408.6
Arkansas,Female,65-74,9972,2352921,423.8
Arkansas,Male,65-74,16544,2045080,809
Arkansas,Female,75-84,19206,1497496,1282.5
Arkansas,Male,75-84,20212,1070732,1887.7
Arkansas,Female,85+,31634,656247,4820.4
Arkansas,Male,85+,16286,305330,5333.9
California,Female,25-34,1530,50066081,3.1
California,Male,25-34,3968,52646057,7.5
California,Female,35-44,5135,50121819,10.2
California,Male,35-44,14096,50895350,27.7
California,Female,45-54,15946,47600929,33.5
California,Male,45-54,45930,46840070,98.1
