State_name,State,Gender,Year,Deaths,Population,Crude.Rate,Age_Adjusted_Rate
Alabama,AL,Male,2000,6466,2146504,301.2,375
Alabama,AL,Male,2001,6367,2158138,295,363.5
Alabama,AL,Female,1999,6918,2293259,301.7,247.1
Alabama,AL,Female,2000,6940,2300596,301.7,244.6
Alabama,AL,Female,2001,6840,2309496,296.2,240.6
Alabama,AL,Female,2002,6886,2314370,297.5,242.1
Alabama,AL,Female,2003,6804,2324069,292.8,238.5
Alabama,AL,Female,2004,6470,2337857,276.7,227.3
Alabama,AL,Female,2005,6679,2356423,283.4,231.5
Alabama,AL,Female,2006,6426,2385480,269.4,219.7
Alabama,AL,Female,2007,6018,2407275,250,202.8
Alabama,AL,Female,2008,6106,2430257,251.2,202.7
Alabama,AL,Female,2009,5862,2448159,239.4,192.3
Alabama,AL,Female,2010,5950,2459548,241.9,193.3
Alabama,AL,Female,2011,5867,2473249,237.2,187.4
Alabama,AL,Female,2012,5831,2483466,234.8,182.8
Alabama,AL,Female,2013,5910,2488375,237.5,182.8
Alabama,AL,Female,2014,5998,2499410,240,182.5
Alabama,AL,Female,2015,6190,2505795,247,185.7
Alabama,AL,Female,2016,6020,2507714,240.1,177.8
Alabama,AL,Female,2017,6036,2514911,240,175.5
Alabama,AL,Male,1999,6501,2136882,304.2,380.5
Alabama,AL,Male,2013,6562,2345347,279.8,285.9
Alabama,AL,Male,2014,6463,2349967,275,277.5
Alabama,AL,Male,2002,6311,2165719,291.4,356.8
Alabama,AL,Male,2003,6346,2179422,291.2,354.3
Alabama,AL,Male,2004,6304,2192872,287.5,345.3
Alabama,AL,Male,2005,6190,2213382,279.7,331.8
Alabama,AL,Male,2006,6157,2243501,274.4,318.1
Alabama,AL,Male,2007,5908,2265565,260.8,299.3
Alabama,AL,Male,2008,5968,2287949,260.8,295.9
Alabama,AL,Male,2009,6159,2309779,266.6,298.7
Alabama,AL,Male,2010,6133,2320188,264.3,290.5
Alabama,AL,Male,2011,6075,2329491,260.8,280.6
Alabama,AL,Male,2012,6205,2338557,265.3,278.7
Alabama,AL,Male,2017,7074,2359836,299.8,283
Alabama,AL,Male,2015,6791,2353184,288.6,286.9
Alabama,AL,Male,2016,6812,2355586,289.2,280
Alaska,AK,Male,2003,370,335380,110.3,232.6
Alaska,AK,Male,2002,370,332704,111.2,226.5
Alaska,AK,Female,1999,235,301266,78,164.7
Alaska,AK,Female,2000,257,302820,84.9,176.8
Alaska,AK,Female,2001,235,305579,76.9,143.6
Alaska,AK,Female,2002,197,309633,63.6,118.9
Alaska,AK,Female,2003,256,313034,81.8,148.2
Alaska,AK,Female,2004,229,317807,72.1,124.3
Alaska,AK,Female,2005,237,320920,73.9,124.3
Alaska,AK,Female,2006,266,325121,81.8,135.8
Alaska,AK,Female,2007,249,327138,76.1,124.5
Alaska,AK,Female,2008,259,329412,78.6,118
Alaska,AK,Female,2009,272,337002,80.7,121.6
Alaska,AK,Female,2010,266,340603,78.1,112.1
Alaska,AK,Female,2011,258,347526,74.2,106.5
Alaska,AK,Female,2012,260,350211,74.2,101.1
Alaska,AK,Female,2013,253,349564,72.4,95.4
