"","State_name","State"
"1","Alabama","AL"
"2","Alaska","AK"
"3","Arizona","AZ"
"4","Arkansas","AR"
"5","California","CA"
"6","Colorado","CO"
"7","Connecticut","CT"
"8","Delaware","DE"
"9","Florida","FL"
"10","Georgia","GA"
"11","Hawaii","HI"
"12","Idaho","ID"
"13","Illinois","IL"
"14","Indiana","IN"
"15","Iowa","IA"
"16","Kansas","KS"
"17","Kentucky","KY"
"18","Louisiana","LA"
"19","Maine","ME"
"20","Maryland","MD"
"21","Massachusetts","MA"
"22","Michigan","MI"
"23","Minnesota","MN"
"24","Mississippi","MS"
"25","Missouri","MO"
"26","Montana","MT"
"27","Nebraska","NE"
"28","Nevada","NV"
"29","New Hampshire","NH"
"30","New Jersey","NJ"
"31","New Mexico","NM"
"32","New York","NY"
"33","North Carolina","NC"
"34","North Dakota","ND"
"35","Ohio","OH"
"36","Oklahoma","OK"
"37","Oregon","OR"
"38","Pennsylvania","PA"
"39","Rhode Island","RI"
"40","South Carolina","SC"
"41","South Dakota","SD"
"42","Tennessee","TN"
"43","Texas","TX"
"44","Utah","UT"
"45","Vermont","VT"
"46","Virginia","VA"
"47","Washington","WA"
"48","West Virginia","WV"
"49","Wisconsin","WI"
"50","Wyoming","WY"
"51","Alabama","AL"
"52","Alaska","AK"
"53","Arizona","AZ"
"54","Arkansas","AR"
"55","California","CA"
"56","Colorado","CO"
"57","Connecticut","CT"
"58","Delaware","DE"
"59","Florida","FL"
"60","Georgia","GA"
"61","Hawaii","HI"
"62","Idaho","ID"
"63","Illinois","IL"
"64","Indiana","IN"
"65","Iowa","IA"
"66","Kansas","KS"
"67","Kentucky","KY"
"68","Louisiana","LA"
"69","Maine","ME"
"70","Maryland","MD"
"71","Massachusetts","MA"
"72","Michigan","MI"
"73","Minnesota","MN"
"74","Mississippi","MS"
"75","Missouri","MO"
"76","Montana","MT"
"77","Nebraska","NE"
"78","Nevada","NV"
"79","New Hampshire","NH"
"80","New Jersey","NJ"
"81","New Mexico","NM"
"82","New York","NY"
"83","North Carolina","NC"
"84","North Dakota","ND"
"85","Ohio","OH"
"86","Oklahoma","OK"
"87","Oregon","OR"
"88","Pennsylvania","PA"
"89","Rhode Island","RI"
"90","South Carolina","SC"
"91","South Dakota","SD"
"92","Tennessee","TN"
"93","Texas","TX"
"94","Utah","UT"
"95","Vermont","VT"
"96","Virginia","VA"
"97","Washington","WA"
"98","West Virginia","WV"
"99","Wisconsin","WI"
"100","Wyoming","WY"
"101","Alabama","AL"
"102","Alaska","AK"
"103","Arizona","AZ"
"104","Arkansas","AR"
"105","California","CA"
"106","Colorado","CO"
"107","Connecticut","CT"
"108","Delaware","DE"
"109","Florida","FL"
"110","Georgia","GA"
"111","Hawaii","HI"
"112","Idaho","ID"
"113","Illinois","IL"
"114","Indiana","IN"
"115","Iowa","IA"
"116","Kansas","KS"
"117","Kentucky","KY"
"118","Louisiana","LA"
"119","Maine","ME"
"120","Maryland","MD"
"121","Massachusetts","MA"
"122","Michigan","MI"
"123","Minnesota","MN"
"124","Mississippi","MS"
"125","Missouri","MO"
"126","Montana","MT"
"127","Nebraska","NE"
"128","Nevada","NV"
"129","New Hampshire","NH"
"130","New Jersey","NJ"
"131","New Mexico","NM"
"132","New York","NY"
"133","North Carolina","NC"
"134","North Dakota","ND"
"135","Ohio","OH"
"136","Oklahoma","OK"
"137","Oregon","OR"
"138","Pennsylvania","PA"
"139","Rhode Island","RI"
"140","South Carolina","SC"
"141","South Dakota","SD"
"142","Tennessee","TN"
"143","Texas","TX"
"144","Utah","UT"
"145","Vermont","VT"
"146","Virginia","VA"
"147","Washington","WA"
"148","West Virginia","WV"
"149","Wisconsin","WI"
"150","Wyoming","WY"
"151","Alabama","AL"
"152","Alaska","AK"
"153","Arizona","AZ"
"154","Arkansas","AR"
"155","California","CA"
"156","Colorado","CO"
"157","Connecticut","CT"
"158","Delaware","DE"
"159","Florida","FL"
"160","Georgia","GA"
"161","Hawaii","HI"
"162","Idaho","ID"
"163","Illinois","IL"
"164","Indiana","IN"
"165","Iowa","IA"
"166","Kansas","KS"
"167","Kentucky","KY"
"168","Louisiana","LA"
"169","Maine","ME"
"170","Maryland","MD"
"171","Massachusetts","MA"
"172","Michigan","MI"
"173","Minnesota","MN"
"174","Mississippi","MS"
"175","Missouri","MO"
"176","Montana","MT"
"177","Nebraska","NE"
"178","Nevada","NV"
"179","New Hampshire","NH"
"180","New Jersey","NJ"
"181","New Mexico","NM"
"182","New York","NY"
"183","North Carolina","NC"
"184","North Dakota","ND"
"185","Ohio","OH"
"186","Oklahoma","OK"
"187","Oregon","OR"
"188","Pennsylvania","PA"
"189","Rhode Island","RI"
"190","South Carolina","SC"
"191","South Dakota","SD"
"192","Tennessee","TN"
"193","Texas","TX"
"194","Utah","UT"
"195","Vermont","VT"
"196","Virginia","VA"
"197","Washington","WA"
"198","West Virginia","WV"
"199","Wisconsin","WI"
"200","Wyoming","WY"
"201","Alabama","AL"
"202","Alaska","AK"
"203","Arizona","AZ"
"204","Arkansas","AR"
"205","California","CA"
"206","Colorado","CO"
"207","Connecticut","CT"
"208","Delaware","DE"
"209","Florida","FL"
"210","Georgia","GA"
"211","Hawaii","HI"
"212","Idaho","ID"
"213","Illinois","IL"
"214","Indiana","IN"
"215","Iowa","IA"
"216","Kansas","KS"
"217","Kentucky","KY"
"218","Louisiana","LA"
"219","Maine","ME"
"220","Maryland","MD"
"221","Massachusetts","MA"
"222","Michigan","MI"
"223","Minnesota","MN"
"224","Mississippi","MS"
"225","Missouri","MO"
"226","Montana","MT"
"227","Nebraska","NE"
"228","Nevada","NV"
"229","New Hampshire","NH"
"230","New Jersey","NJ"
"231","New Mexico","NM"
"232","New York","NY"
"233","North Carolina","NC"
"234","North Dakota","ND"
"235","Ohio","OH"
"236","Oklahoma","OK"
"237","Oregon","OR"
"238","Pennsylvania","PA"
"239","Rhode Island","RI"
"240","South Carolina","SC"
"241","South Dakota","SD"
"242","Tennessee","TN"
"243","Texas","TX"
"244","Utah","UT"
"245","Vermont","VT"
"246","Virginia","VA"
"247","Washington","WA"
"248","West Virginia","WV"
"249","Wisconsin","WI"
"250","Wyoming","WY"
"251","Alabama","AL"
"252","Alaska","AK"
"253","Arizona","AZ"
"254","Arkansas","AR"
"255","California","CA"
"256","Colorado","CO"
"257","Connecticut","CT"
"258","Delaware","DE"
"259","Florida","FL"
"260","Georgia","GA"
"261","Hawaii","HI"
"262","Idaho","ID"
"263","Illinois","IL"
"264","Indiana","IN"
"265","Iowa","IA"
"266","Kansas","KS"
"267","Kentucky","KY"
"268","Louisiana","LA"
"269","Maine","ME"
"270","Maryland","MD"
"271","Massachusetts","MA"
"272","Michigan","MI"
"273","Minnesota","MN"
"274","Mississippi","MS"
"275","Missouri","MO"
"276","Montana","MT"
"277","Nebraska","NE"
"278","Nevada","NV"
"279","New Hampshire","NH"
"280","New Jersey","NJ"
"281","New Mexico","NM"
"282","New York","NY"
"283","North Carolina","NC"
"284","North Dakota","ND"
"285","Ohio","OH"
"286","Oklahoma","OK"
"287","Oregon","OR"
"288","Pennsylvania","PA"
"289","Rhode Island","RI"
"290","South Carolina","SC"
"291","South Dakota","SD"
"292","Tennessee","TN"
"293","Texas","TX"
"294","Utah","UT"
"295","Vermont","VT"
"296","Virginia","VA"
"297","Washington","WA"
"298","West Virginia","WV"
"299","Wisconsin","WI"
"300","Wyoming","WY"
"301","Alabama","AL"
"302","Alaska","AK"
"303","Arizona","AZ"
"304","Arkansas","AR"
"305","California","CA"
"306","Colorado","CO"
"307","Connecticut","CT"
"308","Delaware","DE"
"309","Florida","FL"
"310","Georgia","GA"
"311","Hawaii","HI"
"312","Idaho","ID"
"313","Illinois","IL"
"314","Indiana","IN"
"315","Iowa","IA"
"316","Kansas","KS"
"317","Kentucky","KY"
"318","Louisiana","LA"
"319","Maine","ME"
"320","Maryland","MD"
"321","Massachusetts","MA"
"322","Michigan","MI"
"323","Minnesota","MN"
"324","Mississippi","MS"
"325","Missouri","MO"
"326","Montana","MT"
"327","Nebraska","NE"
"328","Nevada","NV"
"329","New Hampshire","NH"
"330","New Jersey","NJ"
"331","New Mexico","NM"
"332","New York","NY"
"333","North Carolina","NC"
"334","North Dakota","ND"
"335","Ohio","OH"
"336","Oklahoma","OK"
"337","Oregon","OR"
"338","Pennsylvania","PA"
"339","Rhode Island","RI"
"340","South Carolina","SC"
"341","South Dakota","SD"
"342","Tennessee","TN"
"343","Texas","TX"
"344","Utah","UT"
"345","Vermont","VT"
"346","Virginia","VA"
"347","Washington","WA"
"348","West Virginia","WV"
"349","Wisconsin","WI"
"350","Wyoming","WY"
"351","Alabama","AL"
"352","Alaska","AK"
"353","Arizona","AZ"
"354","Arkansas","AR"
"355","California","CA"
"356","Colorado","CO"
"357","Connecticut","CT"
"358","Delaware","DE"
"359","Florida","FL"
"360","Georgia","GA"
"361","Hawaii","HI"
"362","Idaho","ID"
"363","Illinois","IL"
"364","Indiana","IN"
"365","Iowa","IA"
"366","Kansas","KS"
"367","Kentucky","KY"
"368","Louisiana","LA"
"369","Maine","ME"
"370","Maryland","MD"
"371","Massachusetts","MA"
"372","Michigan","MI"
"373","Minnesota","MN"
"374","Mississippi","MS"
"375","Missouri","MO"
"376","Montana","MT"
"377","Nebraska","NE"
"378","Nevada","NV"
"379","New Hampshire","NH"
"380","New Jersey","NJ"
"381","New Mexico","NM"
"382","New York","NY"
"383","North Carolina","NC"
"384","North Dakota","ND"
"385","Ohio","OH"
"386","Oklahoma","OK"
"387","Oregon","OR"
"388","Pennsylvania","PA"
"389","Rhode Island","RI"
"390","South Carolina","SC"
"391","South Dakota","SD"
"392","Tennessee","TN"
"393","Texas","TX"
"394","Utah","UT"
"395","Vermont","VT"
"396","Virginia","VA"
"397","Washington","WA"
"398","West Virginia","WV"
"399","Wisconsin","WI"
"400","Wyoming","WY"
"401","Alabama","AL"
"402","Alaska","AK"
"403","Arizona","AZ"
"404","Arkansas","AR"
"405","California","CA"
"406","Colorado","CO"
"407","Connecticut","CT"
"408","Delaware","DE"
"409","Florida","FL"
"410","Georgia","GA"
"411","Hawaii","HI"
"412","Idaho","ID"
"413","Illinois","IL"
"414","Indiana","IN"
"415","Iowa","IA"
"416","Kansas","KS"
"417","Kentucky","KY"
"418","Louisiana","LA"
"419","Maine","ME"
"420","Maryland","MD"
"421","Massachusetts","MA"
"422","Michigan","MI"
"423","Minnesota","MN"
"424","Mississippi","MS"
"425","Missouri","MO"
"426","Montana","MT"
"427","Nebraska","NE"
"428","Nevada","NV"
"429","New Hampshire","NH"
"430","New Jersey","NJ"
"431","New Mexico","NM"
"432","New York","NY"
"433","North Carolina","NC"
"434","North Dakota","ND"
"435","Ohio","OH"
"436","Oklahoma","OK"
"437","Oregon","OR"
"438","Pennsylvania","PA"
"439","Rhode Island","RI"
"440","South Carolina","SC"
"441","South Dakota","SD"
"442","Tennessee","TN"
"443","Texas","TX"
"444","Utah","UT"
"445","Vermont","VT"
"446","Virginia","VA"
"447","Washington","WA"
"448","West Virginia","WV"
"449","Wisconsin","WI"
"450","Wyoming","WY"
"451","Alabama","AL"
"452","Alaska","AK"
"453","Arizona","AZ"
"454","Arkansas","AR"
"455","California","CA"
"456","Colorado","CO"
"457","Connecticut","CT"
"458","Delaware","DE"
"459","Florida","FL"
"460","Georgia","GA"
"461","Hawaii","HI"
"462","Idaho","ID"
"463","Illinois","IL"
"464","Indiana","IN"
"465","Iowa","IA"
"466","Kansas","KS"
"467","Kentucky","KY"
"468","Louisiana","LA"
"469","Maine","ME"
"470","Maryland","MD"
"471","Massachusetts","MA"
"472","Michigan","MI"
"473","Minnesota","MN"
"474","Mississippi","MS"
"475","Missouri","MO"
"476","Montana","MT"
"477","Nebraska","NE"
"478","Nevada","NV"
"479","New Hampshire","NH"
"480","New Jersey","NJ"
"481","New Mexico","NM"
"482","New York","NY"
"483","North Carolina","NC"
"484","North Dakota","ND"
"485","Ohio","OH"
"486","Oklahoma","OK"
"487","Oregon","OR"
"488","Pennsylvania","PA"
"489","Rhode Island","RI"
"490","South Carolina","SC"
"491","South Dakota","SD"
"492","Tennessee","TN"
"493","Texas","TX"
"494","Utah","UT"
"495","Vermont","VT"
"496","Virginia","VA"
"497","Washington","WA"
"498","West Virginia","WV"
"499","Wisconsin","WI"
"500","Wyoming","WY"
