"","long","lat","group","order","State_name","County","FIPS","State","FFRPTH14","PCH_FFRPTH_09_14","FSRPTH14","PCH_FSRPTH_09_14"
"1",-86.5051651000977,32.3491973876953,1,1,"Alabama","Autauga",1001,"AL",0.649878148,17.27051178,0.523512952,-16.64595977
"52",-87.9375686645508,31.1459865570068,2,53,"Alabama","Baldwin",1003,"AL",0.659633903,5.662750031,1.104387065,-1.914026824
"284",-85.4280090332031,31.6158123016357,3,170,"Alabama","Barbour",1005,"AL",0.818239298,7.762115521,0.55789043,28.57979693
"386",-87.0208282470703,32.8362083435059,4,222,"Alabama","Bibb",1007,"AL",0.222162979,-27.19084435,0.222162979,-15.05598507
"466",-86.9578018188477,33.8618049621582,5,263,"Alabama","Blount",1009,"AL",0.363831667,-13.07303488,0.259879762,-21.56965553
"604",-85.6686553955078,31.8793716430664,6,333,"Alabama","Bullock",1011,"AL",0.2787068,-23.44620959,0.092902267,-48.96413973
"648",-86.8604049682617,31.9595851898193,7,378,"Alabama","Butler",1013,"AL",0.837603469,2.813362239,0.492707923,-45.88770409
"792",-85.7431335449219,33.9649391174316,8,397,"Alabama","Calhoun",1015,"AL",0.888574485,10.70983344,0.66427413,17.35146089
"1595",-85.5941619873047,33.1054992675781,9,471,"Alabama","Chambers",1017,"AL",0.763000352,19.25001868,0.469538678,-15.02832677
"1647",-85.4681167602539,34.2628746032715,10,498,"Alabama","Cherokee",1019,"AL",0.576103238,-6.908918078,0.422475708,9.226869455
"2007",-86.5166244506836,33.0310173034668,11,544,"Alabama","Chilton",1021,"AL",0.455259384,-13.92826498,0.409733446,4.804994999
"2040",-87.9203720092773,32.3090896606445,12,578,"Alabama","Choctaw",1023,"AL",0.45034902,57.35194776,0.37529085,-25.07050107
"2196",-88.063606262207,31.9996929168701,13,631,"Alabama","Clarke",1025,"AL",1.042293045,17.99663608,0.60132291,20.44035339
"2821",-86.0124206542969,33.0940437316895,14,757,"Alabama","Clay",1027,"AL",0.295159386,3.350059032,0.442739079,-11.41423512
"3487",-85.3477935791016,33.6612701416016,15,795,"Alabama","Cleburne",1029,"AL",0.530503979,13.05797651,0.132625995,-50.53713528
"3573",-86.1556625366211,31.6158123016357,16,839,"Alabama","Coffee",1031,"AL",0.667858335,-5.660239699,0.550000982,-12.28371433
"3603",-87.5193023681641,34.5722732543945,17,850,"Alabama","Colbert",1033,"AL",0.953376235,26.55720727,0.696698018,-5.20378417
"3644",-87.4333572387695,31.2605762481689,18,892,"Alabama","Conecuh",1035,"AL",0.552486188,46.67403315,0.315706393,4.767166535
"3688",-86.5166244506836,33.0310173034668,19,937,"Alabama","Coosa",1037,"AL",0.091861106,NA,0,0
"3717",-86.705696105957,31.0084743499756,20,967,"Alabama","Covington",1039,"AL",0.633011552,-4.673524292,0.474758664,-25.52619085
"3792",-86.5108947753906,31.5355987548828,21,993,"Alabama","Crenshaw",1041,"AL",0.357730557,67.22711121,0.429276669,-33.10915552
"3827",-86.9578018188477,33.8618049621582,22,1029,"Alabama","Cullman",1043,"AL",0.651994735,4.776857877,0.590485798,7.832100732
"3879",-85.7431335449219,31.6158123016357,23,1082,"Alabama","Dale",1045,"AL",0.687090777,3.800677538,0.606256568,-2.502209903
"3901",-86.9119644165039,32.6643257141113,24,1105,"Alabama","Dallas",1047,"AL",0.455515332,-0.335523004,0.359617367,-1.646897701
"4206",-86.4192199707031,32.4179534912109,26,1209,"Alabama","Elmore",1051,"AL",0.555713351,50.67880066,0.469269052,8.528129629
"4314",-86.705696105957,31.0084743499756,27,1264,"Alabama","Escambia",1053,"AL",0.715554024,24.40557217,0.530040018,1.367503246
"4352",-85.8749160766602,34.2055816650391,28,1284,"Alabama","Etowah",1055,"AL",0.763056476,-2.999702457,0.550559736,6.277400542
"4422",-87.9490203857422,33.9191017150879,29,1355,"Alabama","Fayette",1057,"AL",0.53336494,-23.06210738,0.53336494,84.65094228
"4576",-88.1495513916016,34.5837326049805,30,1370,"Alabama","Franklin",1059,"AL",0.569602228,-18.21288739,0.506313091,-5.918092689
"4758",-85.4967651367188,31.0084743499756,31,1378,"Alabama","Geneva",1061,"AL",0.374363582,-0.220874513,0.41179994,37.19629754
"4767",-87.8344268798828,33.1570663452148,32,1388,"Alabama","Greene",1063,"AL",0.11691804,7.354144745,0.233836081,-28.43057017
"6601",-87.4104385375977,33.002368927002,33,1520,"Alabama","Hale",1065,"AL",0.461011591,47.75421496,0.263435195,-15.56902002
"6729",-85.4280090332031,31.3064136505127,34,1585,"Alabama","Henry",1067,"AL",0.581733566,0.30831879,0.639906923,22.5990563
"6939",-85.0154800415039,30.9970169067383,35,1607,"Alabama","Houston",1069,"AL",0.930964652,12.725238,0.739013177,-0.972234219
