State_name,State,Age_group,Year,Deaths,Population,Crude_Rate
Alabama,AL,85+,2009,3765,74324,5065.7
Alabama,AL,85+,2010,3737,75684,4937.6
Alabama,AL,85+,2011,3768,77743,4846.7
Alabama,AL,85+,2008,3782,72594,5209.8
Alabama,AL,85+,2013,3719,81976,4536.7
Alabama,AL,85+,2014,3872,83567,4633.4
Alabama,AL,85+,2015,4071,85439,4764.8
Alabama,AL,85+,2016,3901,86753,4496.7
Alabama,AL,85+,2017,3877,88179,4396.7
Alabama,AL,25-34,2009,89,605551,14.7
Alabama,AL,25-34,2010,99,608922,16.3
Alabama,AL,25-34,2011,115,614507,18.7
Alabama,AL,25-34,2012,107,617757,17.3
Alabama,AL,25-34,2013,106,620984,17.1
Alabama,AL,25-34,2014,105,626387,16.8
Alabama,AL,25-34,2015,123,632726,19.4
Alabama,AL,85+,2012,3640,80104,4544.1
Alabama,AL,25-34,2017,104,640302,16.2
Alabama,AL,35-44,1999,362,686932,52.7
Alabama,AL,35-44,2000,308,685512,44.9
Alabama,AL,35-44,2001,345,678003,50.9
Alabama,AL,35-44,2002,391,666137,58.7
Alabama,AL,35-44,2003,367,655351,56
Alabama,AL,35-44,2004,385,647811,59.4
Alabama,AL,35-44,2005,350,642755,54.5
Alabama,AL,35-44,2006,369,642706,57.4
Alabama,AL,35-44,2007,328,638956,51.3
Alabama,AL,35-44,2008,314,632634,49.6
Alabama,AL,35-44,2009,356,626649,56.8
Alabama,AL,25-34,2016,89,637487,14
Alabama,AL,35-44,2011,321,608252,52.8
Alabama,AL,35-44,2012,334,606667,55.1
Alabama,AL,35-44,2013,333,607139,54.8
Alabama,AL,35-44,2014,337,605590,55.6
Alabama,AL,35-44,2015,327,602496,54.3
Alabama,AL,35-44,2016,335,595713,56.2
Alabama,AL,35-44,2017,310,591795,52.4
Alabama,AL,45-54,1999,817,585651,139.5
Alabama,AL,45-54,2000,872,600209,145.3
Alabama,AL,45-54,2001,915,623455,146.8
Alabama,AL,45-54,2002,916,629906,145.4
Alabama,AL,45-54,2003,910,639357,142.3
Alabama,AL,45-54,2004,938,648373,144.7
Alabama,AL,45-54,2005,957,659231,145.2
Alabama,AL,45-54,2006,998,671910,148.5
Alabama,AL,45-54,2007,880,680795,129.3
Alabama,AL,45-54,2008,985,688154,143.1
Alabama,AL,45-54,2009,961,692734,138.7
Alabama,AL,45-54,2010,955,693854,137.6
Alabama,AL,45-54,2011,941,685148,137.3
Alabama,AL,45-54,2012,943,673464,140
Alabama,AL,45-54,2013,990,664435,149
Alabama,AL,45-54,2014,865,656585,131.7
Alabama,AL,45-54,2015,965,649442,148.6
Alabama,AL,45-54,2016,909,644018,141.1
Alabama,AL,45-54,2017,878,636632,137.9
Alabama,AL,55-64,1999,1428,410542,347.8
Alabama,AL,55-64,2000,1385,415532,333.3
Alabama,AL,55-64,2001,1413,425024,332.5
Alabama,AL,55-64,2002,1423,447523,318
Alabama,AL,55-64,2003,1467,465670,315
Alabama,AL,55-64,2004,1464,485363,301.6
Alabama,AL,55-64,2005,1620,504487,321.1
Alabama,AL,55-64,2006,1545,524312,294.7
Alabama,AL,55-64,2007,1528,542075,281.9
Alabama,AL,55-64,2008,1549,556340,278.4
Alabama,AL,55-64,2009,1637,572887,285.7
Alabama,AL,55-64,2010,1625,588033,276.3
Alabama,AL,55-64,2011,1672,610224,274
Alabama,AL,35-44,2010,336,619501,54.2
Alabama,AL,55-64,2015,1852,637997,290.3
Alabama,AL,55-64,2016,1883,645092,291.9
Alabama,AL,55-64,2017,1997,650545,307
Alabama,AL,65-74,1999,2633,315928,833.4
Alabama,AL,65-74,2000,2599,316748,820.5
Alabama,AL,65-74,2001,2528,318262,794.3
Alabama,AL,65-74,2002,2321,318459,728.8
Alabama,AL,65-74,2003,2226,320967,693.5
Alabama,AL,65-74,2004,2168,323711,669.7
Alabama,AL,65-74,2005,2114,329027,642.5
Alabama,AL,65-74,2006,2100,336048,624.9
Alabama,AL,65-74,2007,2021,342611,589.9
Alabama,AL,65-74,2008,2024,354234,571.4
Alabama,AL,65-74,2009,2091,364755,573.3
Alabama,AL,65-74,2010,2153,370501,581.1
Alabama,AL,65-74,2011,2013,380180,529.5
Alabama,AL,65-74,2012,2197,402571,545.7
Alabama,AL,65-74,2013,2410,418704,575.6
Alabama,AL,65-74,2014,2378,435428,546.1
Alabama,AL,65-74,2015,2387,450273,530.1
Alabama,AL,65-74,2016,2556,464669,550.1
Alabama,AL,65-74,2017,2627,477332,550.4
Alabama,AL,75-84,1999,3982,194773,2044.4
Alabama,AL,75-84,2000,4001,195749,2043.9
Alabama,AL,75-84,2001,3741,198633,1883.4
Alabama,AL,75-84,2002,3829,200722,1907.6
Alabama,AL,75-84,2003,3892,203838,1909.4
Alabama,AL,75-84,2004,3760,204612,1837.6
Alabama,AL,75-84,2005,3734,205685,1815.4
Alabama,AL,75-84,2006,3558,207754,1712.6
Alabama,AL,75-84,2007,3300,208541,1582.4
Alabama,AL,75-84,2008,3283,210116,1562.5
Alabama,AL,75-84,2009,3071,209962,1462.6
Alabama,AL,75-84,2010,3119,211607,1474
Alabama,AL,75-84,2011,3063,214663,1426.9
Alabama,AL,75-84,2012,3055,216705,1409.8
Alabama,AL,75-84,2013,3076,220486,1395.1
Alabama,AL,75-84,2014,3056,224937,1358.6
Alabama,AL,75-84,2015,3211,228450,1405.6
Alabama,AL,75-84,2016,3116,233129,1336.6
Alabama,AL,75-84,2017,3280,238260,1376.6
Alabama,AL,85+,1999,4056,65953,6149.8
Alabama,AL,85+,2000,4117,67301,6117.3
Alabama,AL,85+,2001,4112,66936,6143.2
Alabama,AL,85+,2002,4161,66424,6264.3
Alabama,AL,85+,2003,4156,65567,6338.6
Alabama,AL,85+,2004,3906,65503,5963.1
Alabama,AL,85+,2005,3944,67390,5852.5
Alabama,AL,85+,2006,3824,69278,5519.8
Alabama,AL,85+,2007,3731,70918,5261
Alabama,AL,25-34,1999,76,608323,12.5
Alabama,AL,25-34,2000,80,603015,13.3
Alabama,AL,25-34,2001,88,588949,14.9
Alabama,AL,25-34,2002,103,583671,17.6
Alabama,AL,25-34,2003,90,583109,15.4
Alabama,AL,25-34,2004,88,583760,15.1
Alabama,AL,25-34,2005,100,585831,17.1
Alabama,AL,25-34,2006,135,591061,22.8
Alabama,AL,25-34,2007,85,593652,14.3
Alabama,AL,25-34,2008,92,598776,15.4
Alabama,AL,55-64,2013,1790,622799,287.4
Alabama,AL,55-64,2014,1782,629476,283.1
Alabama,AL,55-64,2012,1726,615408,280.5
Alaska,AK,35-44,2001,37,111004,33.3
Alaska,AK,35-44,1999,25,116881,21.4
Alaska,AK,35-44,2000,26,114049,22.8
Alaska,AK,35-44,2005,26,100595,25.8
Alaska,AK,35-44,2006,23,98682,23.3
Alaska,AK,35-44,2007,23,96454,23.8
Alaska,AK,35-44,2008,23,94295,24.4
Alaska,AK,35-44,2009,33,92685,35.6
Alaska,AK,35-44,2010,40,92974,43
Alaska,AK,35-44,2011,27,91953,29.4
Alaska,AK,35-44,2012,23,91993,25
Alaska,AK,35-44,2013,30,90454,33.2
Alaska,AK,35-44,2014,24,89980,26.7
Alaska,AK,35-44,2002,29,107776,26.9
Alaska,AK,35-44,2003,27,104401,25.9
Alaska,AK,35-44,2004,24,102617,23.4
Alaska,AK,45-54,1999,59,92120,64
Alaska,AK,45-54,2000,66,94952,69.5
Alaska,AK,45-54,2001,78,99953,78
Alaska,AK,45-54,2002,70,102844,68.1
Alaska,AK,45-54,2003,69,105868,65.2
Alaska,AK,45-54,2004,80,108069,74
Alaska,AK,45-54,2005,71,109846,64.6
Alaska,AK,45-54,2006,75,111530,67.2
Alaska,AK,45-54,2007,62,111676,55.5
Alaska,AK,45-54,2008,72,111163,64.8
Alaska,AK,45-54,2009,93,112318,82.8
Alaska,AK,45-54,2010,95,111026,85.6
Alaska,AK,45-54,2011,74,109611,67.5
Alaska,AK,45-54,2012,111,106266,104.5
Alaska,AK,45-54,2013,81,100482,80.6
Alaska,AK,45-54,2014,96,97583,98.4
Alaska,AK,45-54,2015,71,94440,75.2
Alaska,AK,45-54,2016,74,94167,78.6
Alaska,AK,45-54,2017,65,91285,71.2
Alaska,AK,55-64,1999,86,43341,198.4
Alaska,AK,55-64,2000,91,44750,203.4
Alaska,AK,55-64,2001,90,47643,188.9
Alaska,AK,55-64,2002,110,52428,209.8
Alaska,AK,55-64,2003,98,56268,174.2
Alaska,AK,55-64,2004,104,60988,170.5
Alaska,AK,55-64,2005,111,65507,169.4
Alaska,AK,55-64,2006,91,69753,130.5
Alaska,AK,55-64,2007,110,73679,149.3
Alaska,AK,55-64,2008,108,77967,138.5
Alaska,AK,55-64,2009,133,83075,160.1
Alaska,AK,55-64,2010,146,85909,169.9
Alaska,AK,55-64,2011,169,90885,185.9
Alaska,AK,55-64,2012,131,92816,141.1
Alaska,AK,55-64,2013,138,92820,148.7
Alaska,AK,55-64,2014,153,93050,164.4
Alaska,AK,55-64,2015,170,93624,181.6
Alaska,AK,55-64,2016,176,95322,184.6
Alaska,AK,35-44,2015,29,90156,32.2
Alaska,AK,35-44,2016,29,92145,31.5
Alaska,AK,35-44,2017,29,93212,31.1
Alaska,AK,65-74,2001,130,23338,557
Alaska,AK,65-74,2002,102,24115,423
Alaska,AK,65-74,2003,124,25031,495.4
Alaska,AK,65-74,2004,126,25949,485.6
Alaska,AK,65-74,2005,114,26825,425
Alaska,AK,65-74,2006,129,27990,460.9
Alaska,AK,65-74,2007,119,29703,400.6
Alaska,AK,65-74,2008,134,31798,421.4
Alaska,AK,65-74,2009,131,33759,388
Alaska,AK,65-74,2010,112,35350,316.8
Alaska,AK,65-74,2011,144,37702,381.9
Alaska,AK,65-74,2012,137,41000,334.1
Alaska,AK,65-74,2013,132,43810,301.3
Alaska,AK,65-74,2014,144,46606,309
Alaska,AK,65-74,2015,172,49155,349.9
Alaska,AK,65-74,2016,196,52387,374.1
Alaska,AK,65-74,2017,199,55904,356
Alaska,AK,75-84,1999,148,10052,1472.3
Alaska,AK,75-84,2000,177,10558,1676.5
Alaska,AK,75-84,2001,153,11238,1361.5
Alaska,AK,75-84,2002,148,11768,1257.6
Alaska,AK,75-84,2003,171,12214,1400
Alaska,AK,75-84,2004,137,12881,1063.6
Alaska,AK,75-84,2005,170,13507,1258.6
Alaska,AK,75-84,2006,175,13740,1273.7
Alaska,AK,75-84,2007,151,13898,1086.5
Alaska,AK,75-84,2008,150,14239,1053.4
Alaska,AK,75-84,2009,155,14612,1060.8
Alaska,AK,75-84,2010,123,14877,826.8
Alaska,AK,75-84,2011,150,15417,973
Alaska,AK,75-84,2012,125,16124,775.2
Alaska,AK,75-84,2013,143,16590,862
Alaska,AK,75-84,2014,166,16876,983.6
Alaska,AK,75-84,2015,193,17545,1100
Alaska,AK,75-84,2016,164,18399,891.4
Alaska,AK,75-84,2017,156,20122,775.3
Alaska,AK,85+,1999,89,2461,3616.4
Alaska,AK,85+,2000,116,2634,4403.9
Alaska,AK,85+,2001,105,2839,3698.5
Alaska,AK,85+,2002,100,2985,3350.1
Alaska,AK,85+,2003,122,3164,3855.9
Alaska,AK,85+,2004,107,3318,3224.8
Alaska,AK,85+,2005,121,3613,3349
Alaska,AK,85+,2006,144,3870,3720.9
Alaska,AK,85+,2007,137,4005,3420.7
Alaska,AK,85+,2008,134,4285,3127.2
Alaska,AK,85+,2009,153,4508,3394
Alaska,AK,85+,2010,177,4711,3757.2
Alaska,AK,85+,2011,160,5094,3141
Alaska,AK,85+,2012,164,5373,3052.3
Alaska,AK,85+,2013,166,5689,2917.9
Alaska,AK,85+,2014,186,5931,3136.1
Alaska,AK,85+,2015,190,6137,3096
Alaska,AK,85+,2016,177,6420,2757
Alaska,AK,85+,2017,195,6554,2975.3
Alaska,AK,65-74,2000,124,22507,550.9
Alaska,AK,55-64,2017,153,95366,160.4
Alaska,AK,65-74,1999,150,21731,690.3
Arizona,AZ,25-34,2000,48,742665,6.5
