State,State Code,County,County Code,Deaths,Population,Crude Rate,Age_Adjusted_Rate
Alabama,1,"Autauga County, AL",1001,2226,975679,228.1,258.4
Alabama,1,"Baldwin County, AL",1003,8533,3316841,257.3,209.8
Alabama,1,"Barbour County, AL",1005,1651,524875,314.6,282.6
Alabama,1,"Bibb County, AL",1007,1113,420148,264.9,262.5
Alabama,1,"Blount County, AL",1009,2828,1055789,267.9,249.7
Alabama,1,"Bullock County, AL",1011,704,207893,338.6,293.2
Alabama,1,"Butler County, AL",1013,1632,393446,414.8,306.3
Alabama,1,"Calhoun County, AL",1015,7760,2189206,354.5,322
Alabama,1,"Chambers County, AL",1017,2287,662645,345.1,264.7
Alabama,1,"Cherokee County, AL",1019,1482,480944,308.1,247.3
Alabama,1,"Chilton County, AL",1021,2472,807006,306.3,293.7
Alabama,1,"Choctaw County, AL",1023,1039,271266,383,292.2
Alabama,1,"Clarke County, AL",1025,1488,496992,299.4,250.1
Alabama,1,"Clay County, AL",1027,1135,264370,429.3,319.8
Alabama,1,"Cleburne County, AL",1029,946,278629,339.5,291.6
Alabama,1,"Coffee County, AL",1031,2614,909426,287.4,255.6
Alabama,1,"Colbert County, AL",1033,3597,1035363,347.4,272.7
Alabama,1,"Conecuh County, AL",1035,971,252529,384.5,294.3
Alabama,1,"Coosa County, AL",1037,684,215538,317.3,259.1
Alabama,1,"Covington County, AL",1039,2681,712542,376.3,266.8
Alabama,1,"Crenshaw County, AL",1041,936,263078,355.8,269.2
Alabama,1,"Cullman County, AL",1043,5022,1513843,331.7,288.4
Alabama,1,"Dale County, AL",1045,2441,940798,259.5,256.5
Alabama,1,"Dallas County, AL",1047,3072,829613,370.3,335.7
Alabama,1,"DeKalb County, AL",1049,4322,1309494,330.1,310.4
Alabama,1,"Elmore County, AL",1051,3383,1436208,235.6,253.2
Alabama,1,"Escambia County, AL",1053,2129,720896,295.3,263.5
Alabama,1,"Etowah County, AL",1055,7445,1967533,378.4,312.3
Alabama,1,"Fayette County, AL",1057,1153,332986,346.3,261.6
Alabama,1,"Franklin County, AL",1059,2081,595564,349.4,309.7
