State,County,,State_name,FIPS,group,long,lat,Age.Adjusted.Rate,FFRPTH14,FSRPTH14,RECFACPTH14,POVRATE15,Pov_num,Age.poverty,Age.Black,Age.b.p,PCT_NHWHITE10,black_num,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCTHIGSD,Population.Estimate..2015,Population.Estimate..2016
AL,Autauga,,Alabama,1001,1,-86.5051651,32.34919739,203.6,0.649878148,0.523512952,0.090260854,12.7,6989.445,14.23051002,19.70152352,33.93203354,77.24615638,9676.583261,17.58259882,2.400542413,0.855765883,0.397647102,0.040314453,24.6,"55,035","55,416"
AL,Baldwin,,Alabama,1003,2,-87.93756866,31.14598656,195.7,0.659633903,1.104387065,0.124930663,12.9,26276.01,51.42215157,37.10536573,88.5275173,83.50478699,18960.32996,9.308424547,4.384824294,0.735193263,0.628754835,0.043343483,29.5,"203,690","208,563"
AL,Barbour,,Alabama,1005,3,-85.42800903,31.6158123,275.9,0.818239298,0.55789043,0,32,8406.4,23.1932576,33.84127481,57.03453241,46.75310485,12265.77558,46.69118986,5.051535128,0.389700259,0.218523509,0.087409404,12.9,"26,270","25,965"
AL,Bibb,,Alabama,1007,4,-87.02082825,32.83620834,263.4,0.222162979,0.222162979,0.0444326,22.2,5008.542,13.19249963,13.02878404,26.22128366,75.02072878,4946.387257,21.9245036,1.771765219,0.096006982,0.279293039,0.030547676,12,"22,561","22,643"
AL,Blount,,Alabama,1009,5,-86.95780182,33.86180496,215.3,0.363831667,0.259879762,0.051976,14.7,8478.372,18.25393492,1.568398413,19.82233333,88.88733819,728.4711626,1.263040368,8.070199923,0.200621053,0.497191305,0.031401556,13.1,"57,676","57,704"
AL,Bullock,,Alabama,1011,6,-85.6686554,31.87937164,249,0.2787068,0.092902267,0,39.6,4140.18,10.3090482,18.21638622,28.52543442,21.9168041,7315.817757,69.97434488,7.119296317,0.18325087,0.18325087,0.036650174,10.3,"10,455","10,362"
AL,Butler,,Alabama,1013,7,-86.86040497,31.95958519,186,0.837603469,0.492707923,0.0492708,25.8,5192.508,9.65806488,16.16788346,25.82594834,54.06024729,8692.410464,43.1899556,0.911825082,0.830667876,0.281663245,0.033417673,16.1,"20,126","19,998"
AL,Calhoun,,Alabama,1015,8,-85.74313354,33.96493912,321.5,0.888574485,0.66427413,0.0603886,20,23057,74.128255,75.57428488,149.7025399,73.61350066,23506.77601,20.3901427,3.283237189,0.699996627,0.404817326,0.079276726,17.7,"115,285","114,611"
AL,Chambers,,Alabama,1017,9,-85.59416199,33.10549927,178.4,0.763000352,0.469538678,0,22.4,7625.632,13.60412749,23.44106955,37.04519704,58.14116616,13139.61298,38.59710653,1.566564372,0.485167324,0.166593599,0.020458863,12.5,"34,043","33,843"
AL,Cherokee,,Alabama,1019,10,-85.46811676,34.2628746,232.1,0.576103238,0.422475708,0.0384069,19.4,4990.844,11.58374892,2.77079978,14.3545487,92.07356959,1193.795683,4.640424795,1.231290161,0.188541306,0.469429374,0.003847782,14,"25,726","25,725"
AL,Chilton,,Alabama,1021,11,-86.51662445,33.0310173,287.5,0.455259384,0.409733446,0.0455259,20.2,8849.418,25.44207675,12.0372362,37.47931295,81.10120752,4186.864766,9.557088193,7.836308228,0.286414774,0.307036638,0.0252045,14.9,"43,809","43,941"
AL,Choctaw,,Alabama,1023,12,-87.92037201,32.30908966,270.9,0.45034902,0.37529085,0,24.4,3221.044,8.725808196,15.45648596,24.18229416,55.55956418,5705.605744,43.22101162,0.526733531,0.086586334,0.129879501,0,12,"13,201","12,993"
AL,Clarke,,Alabama,1025,13,-88.06360626,31.99969292,270.5,1.042293045,0.60132291,0.120264582,22.2,5489.172,14.84821026,29.20487758,44.05308784,53.97359966,10796.62757,43.66507955,1.049045794,0.286455309,0.371617698,0.015484071,12.1,"24,726","24,392"
AL,Clay,,Alabama,1027,14,-86.01242065,33.09404373,276.9,0.295159386,0.442739079,0,18.4,2483.08,6.87564852,5.493034557,12.36868308,80.2899799,1983.761126,14.69997129,2.863910422,0.165087568,0.39477462,0,11.1,"13,495","13,492"
AL,Cleburne,,Alabama,1029,15,-85.34779358,33.66127014,286.8,0.530503979,0.132625995,0.066312997,18.9,2834.244,8.128611792,1.419063107,9.547674899,93.21399947,494.7918782,3.299492386,2.050494256,0.153620091,0.333956719,0.006679134,11.5,"14,996","14,924"
AL,Coffee,,Alabama,1031,16,-86.15566254,31.6158123,253.1,0.667858335,0.550000982,0.078571569,16.2,8272.206,20.93695339,21.364988,42.30194138,72.34323697,8441.322796,16.53119244,6.366621286,1.259309682,1.205253464,0.10210619,23.7,"51,063","51,226"
AL,Colbert,,Alabama,1033,17,-87.51930237,34.57227325,228.8,0.953376235,0.696698018,0.11000495,18.1,9827.395,22.48507976,19.86152359,42.34660335,79.61710884,8680.735833,15.98809436,2.008157566,0.411552877,0.481369883,0.025722055,18.5,"54,295","54,216"
