"","State","Age_group","Deaths","Population","Female","Male"
"1","Alabama","25-34",695,5846272,11.9,NA
"2","Alabama","25-34",1179,5678498,NA,20.8
"3","Alabama","35-44",2323,6158050,37.7,NA
"4","Alabama","35-44",4185,5882549,NA,71.1
"5","Alabama","45-54",5785,6385531,90.6,NA
"6","Alabama","45-54",11810,6037822,NA,195.6
"7","Alabama","55-64",10342,5414228,191,NA
"8","Alabama","55-64",20444,4935101,NA,414.3
"9","Alabama","65-74",17179,3832617,448.2,NA
"10","Alabama","65-74",26367,3207791,NA,822
"11","Alabama","75-84",32247,1609834,NA,2003.1
"12","Alabama","75-84",32880,2418788,1359.4,NA
"13","Alabama","85+",23984,420645,NA,5701.7
"14","Alabama","85+",50155,990988,5061.1,NA
"15","Alaska","25-34",54,907303,6,NA
"16","Alaska","25-34",92,998923,NA,9.2
"17","Alaska","35-44",163,907065,18,NA
"18","Alaska","35-44",364,965241,NA,37.7
"19","Alaska","45-54",390,938891,41.5,NA
"20","Alaska","45-54",1072,1026308,NA,104.5
"21","Alaska","55-64",608,668087,91,NA
"22","Alaska","55-64",1760,747104,NA,235.6
"23","Alaska","65-74",810,317573,255.1,NA
"24","Alaska","65-74",1809,337087,NA,536.7
"25","Alaska","75-84",1291,148982,866.5,NA
"26","Alaska","75-84",1664,125675,NA,1324.1
"27","Alaska","85+",1154,29543,NA,3906.2
"28","Alaska","85+",1589,54048,2940,NA
"29","Arizona","25-34",296,7729821,3.8,NA
"30","Arizona","25-34",692,8228036,NA,8.4
"31","Arizona","35-44",959,7652170,12.5,NA
"32","Arizona","35-44",2415,7818065,NA,30.9
"33","Arizona","45-54",2856,7490474,38.1,NA
"34","Arizona","45-54",7761,7266650,NA,106.8
"35","Arizona","55-64",6395,6555065,97.6,NA
"36","Arizona","55-64",16111,5950292,NA,270.8
"37","Arizona","65-74",12338,4898287,251.9,NA
"38","Arizona","65-74",23445,4396139,NA,533.3
"39","Arizona","75-84",25841,2948377,876.4,NA
"40","Arizona","75-84",32297,2432601,NA,1327.7
"41","Arizona","85+",29627,687367,NA,4310.2
"42","Arizona","85+",43785,1176118,3722.8,NA
"43","Arkansas","25-34",347,3505906,9.9,NA
"44","Arkansas","25-34",647,3528965,NA,18.3
"45","Arkansas","35-44",1079,3596684,30,NA
"46","Arkansas","35-44",2294,3551680,NA,64.6
"47","Arkansas","45-54",3083,3692822,83.5,NA
"48","Arkansas","45-54",6759,3571724,NA,189.2
"49","Arkansas","55-64",5826,3224037,180.7,NA
"50","Arkansas","55-64",12222,2990964,NA,408.6
"51","Arkansas","65-74",9972,2352921,423.8,NA
"52","Arkansas","65-74",16544,2045080,NA,809
"53","Arkansas","75-84",19206,1497496,1282.5,NA
"54","Arkansas","75-84",20212,1070732,NA,1887.7
"55","Arkansas","85+",16286,305330,NA,5333.9
"56","Arkansas","85+",31634,656247,4820.4,NA
"57","California","25-34",1530,50066081,3.1,NA
"58","California","25-34",3968,52646057,NA,7.5
"59","California","35-44",5135,50121819,10.2,NA
"60","California","35-44",14096,50895350,NA,27.7
"61","California","45-54",15946,47600929,33.5,NA
"62","California","45-54",45930,46840070,NA,98.1
"63","California","55-64",35144,36577475,96.1,NA
"64","California","55-64",84997,34164125,NA,248.8
"65","California","65-74",67376,23577678,285.8,NA
"66","California","65-74",112358,20220946,NA,555.7
"67","California","75-84",154614,15262326,1013,NA
"68","California","75-84",171490,11166249,NA,1535.8
"69","California","85+",184944,3721634,NA,4969.4
"70","California","85+",303907,7031316,4322.2,NA
"71","Colorado","25-34",233,6641347,3.5,NA
"72","Colorado","25-34",511,7167877,NA,7.1
"73","Colorado","35-44",665,6700485,9.9,NA
"74","Colorado","35-44",1712,6967997,NA,24.6
"75","Colorado","45-54",1902,6650604,28.6,NA
"76","Colorado","45-54",5337,6639949,NA,80.4
